group,phase,condition,subject,mem_acc
ptsd,acquisition,CS+,101,0.6666666666666666
ptsd,acquisition,CS+,102,0.625
ptsd,acquisition,CS+,103,0.7916666666666666
ptsd,acquisition,CS+,104,0.25
ptsd,acquisition,CS+,105,0.625
ptsd,acquisition,CS+,106,0.3333333333333333
ptsd,acquisition,CS+,107,0.625
ptsd,acquisition,CS+,108,0.5
ptsd,acquisition,CS+,109,0.8333333333333334
ptsd,acquisition,CS+,110,0.782608695652174
ptsd,acquisition,CS+,111,0.9166666666666666
ptsd,acquisition,CS+,112,0.4166666666666667
ptsd,acquisition,CS+,113,0.375
ptsd,acquisition,CS+,114,0.8333333333333334
ptsd,acquisition,CS+,115,1.0
ptsd,acquisition,CS+,116,0.20833333333333334
ptsd,acquisition,CS+,117,0.75
ptsd,acquisition,CS+,118,0.43478260869565216
ptsd,acquisition,CS+,120,0.8333333333333334
ptsd,acquisition,CS+,121,0.9583333333333334
ptsd,acquisition,CS+,122,0.7083333333333334
ptsd,acquisition,CS+,123,0.9166666666666666
ptsd,acquisition,CS+,124,0.125
ptsd,acquisition,CS+,125,0.7391304347826086
ptsd,acquisition,CS-,101,0.16666666666666666
ptsd,acquisition,CS-,102,0.625
ptsd,acquisition,CS-,103,0.6666666666666666
ptsd,acquisition,CS-,104,0.13636363636363635
ptsd,acquisition,CS-,105,0.4782608695652174
ptsd,acquisition,CS-,106,0.125
ptsd,acquisition,CS-,107,0.5833333333333334
ptsd,acquisition,CS-,108,0.25
ptsd,acquisition,CS-,109,0.7083333333333334
ptsd,acquisition,CS-,110,0.7727272727272727
ptsd,acquisition,CS-,111,0.7083333333333334
ptsd,acquisition,CS-,112,0.20833333333333334
ptsd,acquisition,CS-,113,0.2608695652173913
ptsd,acquisition,CS-,114,0.4583333333333333
ptsd,acquisition,CS-,115,0.391304347826087
ptsd,acquisition,CS-,116,0.08333333333333333
ptsd,acquisition,CS-,117,0.7916666666666666
ptsd,acquisition,CS-,118,0.25
ptsd,acquisition,CS-,120,0.4
ptsd,acquisition,CS-,121,0.9166666666666666
ptsd,acquisition,CS-,122,0.20833333333333334
ptsd,acquisition,CS-,123,0.5833333333333334
ptsd,acquisition,CS-,124,0.3333333333333333
ptsd,acquisition,CS-,125,0.875
ptsd,baseline,CS+,101,0.3333333333333333
ptsd,baseline,CS+,102,0.5833333333333334
ptsd,baseline,CS+,103,0.7916666666666666
ptsd,baseline,CS+,104,0.4782608695652174
ptsd,baseline,CS+,105,0.875
ptsd,baseline,CS+,106,0.5
ptsd,baseline,CS+,107,0.5
ptsd,baseline,CS+,108,0.75
ptsd,baseline,CS+,109,0.875
ptsd,baseline,CS+,110,0.7727272727272727
ptsd,baseline,CS+,111,0.9166666666666666
ptsd,baseline,CS+,112,0.5416666666666666
ptsd,baseline,CS+,113,0.3333333333333333
ptsd,baseline,CS+,114,0.5833333333333334
ptsd,baseline,CS+,115,0.5
ptsd,baseline,CS+,116,0.20833333333333334
ptsd,baseline,CS+,117,0.4583333333333333
ptsd,baseline,CS+,118,0.4583333333333333
ptsd,baseline,CS+,120,0.8947368421052632
ptsd,baseline,CS+,121,0.4166666666666667
ptsd,baseline,CS+,122,0.7083333333333334
ptsd,baseline,CS+,123,0.6666666666666666
ptsd,baseline,CS+,124,0.5833333333333334
ptsd,baseline,CS+,125,0.6363636363636364
ptsd,baseline,CS-,101,0.041666666666666664
ptsd,baseline,CS-,102,0.5416666666666666
ptsd,baseline,CS-,103,0.7916666666666666
ptsd,baseline,CS-,104,0.25
ptsd,baseline,CS-,105,0.7083333333333334
ptsd,baseline,CS-,106,0.4166666666666667
ptsd,baseline,CS-,107,0.5416666666666666
ptsd,baseline,CS-,108,0.5416666666666666
ptsd,baseline,CS-,109,0.75
ptsd,baseline,CS-,110,0.5
ptsd,baseline,CS-,111,0.5833333333333334
ptsd,baseline,CS-,112,0.4583333333333333
ptsd,baseline,CS-,113,0.2916666666666667
ptsd,baseline,CS-,114,0.4166666666666667
ptsd,baseline,CS-,115,0.625
ptsd,baseline,CS-,116,0.16666666666666666
ptsd,baseline,CS-,117,0.6666666666666666
ptsd,baseline,CS-,118,0.13043478260869565
ptsd,baseline,CS-,120,0.7647058823529411
ptsd,baseline,CS-,121,0.5217391304347826
