"","roi","phase","group","condition","beta","chisq","pval"
"37","A24rv","extinction","healthy","CS+","0.0280853962142205","0.230082317845586","0.631462797771531"
"38","A14m","extinction","healthy","CS+","0.0122614546107619","0.043999860054214","0.833853872984162"
"39","A11m","extinction","healthy","CS+","0.0288366170469953","0.261139548467327","0.609338348522647"
"40","A13","extinction","healthy","CS+","-0.0654550394024245","2.02898196818808","0.154323949954398"
"41","A10m","extinction","healthy","CS+","-0.0438631948123224","0.437801388593016","0.50818554477986"
"42","A9m","extinction","healthy","CS+","-0.00569521903374462","0.0109628480049082","0.916610989546612"
"43","A8m","extinction","healthy","CS+","0.0172179785298879","0.0730710815478233","0.786916670987537"
"44","A6m","extinction","healthy","CS+","-0.0139023388929819","0.0489226857713447","0.824948596786276"
"45","A32sg","baseline","ptsd","CS+","0.0231063974453998","0.415475854281908","0.519203181392374"
"46","A32p","baseline","ptsd","CS+","0.0650197446666499","2.78405351203844","0.0952069272482383"
"47","A24cd","baseline","ptsd","CS+","0.0683421753934223","2.01330710845571","0.155925100289222"
"48","A24rv","baseline","ptsd","CS+","0.00857203240582173","0.0504892180059642","0.822214174197598"
"49","A14m","baseline","ptsd","CS+","0.0934457301920948","5.70280822125119","0.0169377919126391"
"50","A11m","baseline","ptsd","CS+","0.0322532755530585","1.13133897405442","0.287489913449621"
"51","A13","baseline","ptsd","CS+","0.0201493891134381","0.714203487479551","0.398051877880668"
"52","A10m","baseline","ptsd","CS+","0.0582800170807759","2.33461017376681","0.12652666128594"
"53","A9m","baseline","ptsd","CS+","0.048353294619289","1.25708692077853","0.262203217841553"
"54","A8m","baseline","ptsd","CS+","0.0917230770638942","4.68205243914952","0.0304793118440781"
"55","A6m","baseline","ptsd","CS+","0.0269947082976413","0.301073150201091","0.583210432897604"
"56","A32sg","acquisition","ptsd","CS+","-0.0192054123042332","0.246839162577203","0.619309566813289"
"57","A32p","acquisition","ptsd","CS+","-0.0388504145986298","0.678240607962948","0.410193223521928"
"58","A24cd","acquisition","ptsd","CS+","-0.0203887848503308","0.16829621979366","0.681630471195507"
"59","A24rv","acquisition","ptsd","CS+","0.0134795226151596","0.0883894009647292","0.766234771448957"
"60","A14m","acquisition","ptsd","CS+","-0.0235272763608985","0.291386408656876","0.589333453849333"
"61","A11m","acquisition","ptsd","CS+","0.0183916957311527","0.232569884131863","0.629624810819493"
"62","A13","acquisition","ptsd","CS+","-0.019361856481735","0.635788873381657","0.425239833708876"
