subject,roi,phase,condition,beta
6,hc_tail,baseline,CS-,6.853991911492565
6,hc_tail,baseline,CS-,6.853991911492565
6,hc_tail,extinction,CS+,-0.24605464937265997
6,hc_tail,extinction,CS+,-0.24605464937265997
6,hc_tail,extinction,CS-,-12.448306857993957
6,hc_tail,extinction,CS-,-12.448306857993957
7,amyg_bla,acquisition,CS+,-24.291115949040762
7,amyg_bla,acquisition,CS-,-15.366850546747447
7,amyg_bla,baseline,CS+,-19.250830245716497
7,amyg_bla,baseline,CS-,-13.50964777820002
7,amyg_bla,extinction,CS+,-2.92868345224609
7,amyg_bla,extinction,CS-,-11.804518604159561
7,amyg_cem,acquisition,CS+,-11.345143008105202
7,amyg_cem,acquisition,CS-,-18.30283204621325
7,amyg_cem,baseline,CS+,-13.441556278123137
7,amyg_cem,baseline,CS-,-6.602940827440333
7,amyg_cem,extinction,CS+,14.742621852820008
7,amyg_cem,extinction,CS-,0.4398090992962905
7,hc_body,acquisition,CS+,-38.837463548634375
7,hc_body,acquisition,CS-,-20.448780946076177
7,hc_body,baseline,CS+,-32.415198227798555
7,hc_body,baseline,CS-,-10.604477221687693
7,hc_body,extinction,CS+,-23.715801381195586
7,hc_body,extinction,CS-,-28.58537843317703
7,hc_tail,acquisition,CS+,-35.68138375218425
7,hc_tail,acquisition,CS+,-35.68138375218425
7,hc_tail,acquisition,CS-,-13.092807904469026
7,hc_tail,acquisition,CS-,-13.092807904469026
7,hc_tail,baseline,CS+,-28.48687397466884
7,hc_tail,baseline,CS+,-28.48687397466884
7,hc_tail,baseline,CS-,6.412905392066265
7,hc_tail,baseline,CS-,6.412905392066265
7,hc_tail,extinction,CS+,-14.559954758307763
7,hc_tail,extinction,CS+,-14.559954758307763
7,hc_tail,extinction,CS-,-21.6994746656911
7,hc_tail,extinction,CS-,-21.6994746656911
8,amyg_bla,acquisition,CS+,5.758896841287798
8,amyg_bla,acquisition,CS-,0.37007818634601986
8,amyg_bla,baseline,CS+,3.8656223704245813
8,amyg_bla,baseline,CS-,5.691186964472241
8,amyg_bla,extinction,CS+,-3.5533422188212476
8,amyg_bla,extinction,CS-,3.1605067019027175
8,amyg_cem,acquisition,CS+,4.656219909057478
8,amyg_cem,acquisition,CS-,4.621141742914915
8,amyg_cem,baseline,CS+,10.36031472163373
8,amyg_cem,baseline,CS-,7.20081030597028
8,amyg_cem,extinction,CS+,2.96144689249463
8,amyg_cem,extinction,CS-,-4.702256036007352
8,hc_body,acquisition,CS+,34.82022476575168
8,hc_body,acquisition,CS-,39.65798235829976
8,hc_body,baseline,CS+,42.476996998824745
8,hc_body,baseline,CS-,41.24494776092681
8,hc_body,extinction,CS+,33.977280468384514
8,hc_body,extinction,CS-,30.464489411901564
8,hc_tail,acquisition,CS+,42.7102177338851
8,hc_tail,acquisition,CS+,42.7102177338851
8,hc_tail,acquisition,CS-,53.57628339589758
8,hc_tail,acquisition,CS-,53.57628339589758
8,hc_tail,baseline,CS+,49.531327076196305
8,hc_tail,baseline,CS+,49.531327076196305
8,hc_tail,baseline,CS-,49.290793120310724
8,hc_tail,baseline,CS-,49.290793120310724
8,hc_tail,extinction,CS+,43.00439966713417
8,hc_tail,extinction,CS+,43.00439966713417
8,hc_tail,extinction,CS-,40.43171456917612
