"","phase","group","hc_head_ers","yvar","SE","df","LCL","UCL","tvar","xvar"
"73","acquisition","healthy",-0.12,-0.032891889969177,0.0438613173233153,Inf,-0.118858492237358,0.0530747122990038,"acquisition healthy",-0.12
"74","extinction","healthy",-0.12,-0.0409288455663458,0.0446800255082768,Inf,-0.128500086390899,0.0466423952582077,"extinction healthy",-0.12
"75","acquisition","ptsd",-0.12,-0.0642264014067604,0.0440872954924841,Inf,-0.150635912747804,0.0221831099342835,"acquisition ptsd",-0.12
"76","extinction","ptsd",-0.12,0.00740871975427411,0.0441037343106189,Inf,-0.0790330110782624,0.0938504505868107,"extinction ptsd",-0.12
"77","acquisition","healthy",-0.11,-0.0322987603195249,0.0437986503384599,Inf,-0.118142537554369,0.0535450169153194,"acquisition healthy",-0.11
"78","extinction","healthy",-0.11,-0.0387937108162429,0.0445540098082188,Inf,-0.126117965407196,0.0485305437747102,"extinction healthy",-0.11
"79","acquisition","ptsd",-0.11,-0.0636779185730511,0.0440011312461827,Inf,-0.149918551094589,0.022562713948487,"acquisition ptsd",-0.11
"80","extinction","ptsd",-0.11,0.00778215001078053,0.0440120693702144,Inf,-0.0784799208399181,0.0940442208614792,"extinction ptsd",-0.11
"81","acquisition","healthy",-0.1,-0.0317056306698728,0.0437414102828822,Inf,-0.117437219457312,0.0540259581175663,"acquisition healthy",-0.1
"82","extinction","healthy",-0.1,-0.0366585760661401,0.0444346919890032,Inf,-0.123748972028717,0.0504318198964366,"extinction healthy",-0.1
"83","acquisition","ptsd",-0.1,-0.0631294357393417,0.0439213600375055,Inf,-0.149213719564869,0.0229548480861858,"acquisition ptsd",-0.1
"84","extinction","ptsd",-0.1,0.00815558026728695,0.0439280449547635,Inf,-0.077941805755306,0.0942529662898799,"extinction ptsd",-0.1
"85","acquisition","healthy",-0.09,-0.0311125010202208,0.0436896184868998,Inf,-0.11674257975284,0.0545175777123982,"acquisition healthy",-0.09
"86","extinction","healthy",-0.09,-0.0345234413160372,0.0443221261439525,Inf,-0.121393212276425,0.0523463296443508,"extinction healthy",-0.09
"87","acquisition","ptsd",-0.09,-0.0625809529056324,0.0438480167583756,Inf,-0.148521486545557,0.0233595807342925,"acquisition ptsd",-0.09
"88","extinction","ptsd",-0.09,0.00852901052379336,0.0438517049844033,Inf,-0.0774187519063127,0.0944767729538994,"extinction ptsd",-0.09
"89","acquisition","healthy",-0.08,-0.0305193713705687,0.0436432943469778,Inf,-0.116058656457326,0.0550199137161882,"acquisition healthy",-0.08
"90","extinction","healthy",-0.08,-0.0323883065659344,0.0442163638405447,Inf,-0.119050787220721,0.0542741740888524,"extinction healthy",-0.08
"91","acquisition","ptsd",-0.08,-0.0620324700719231,0.0437811337135027,Inf,-0.147841915352721,0.0237769752088745,"acquisition ptsd",-0.08
"92","extinction","ptsd",-0.08,0.00890244078029978,0.0437830896548293,Inf,-0.0769108380750539,0.0947157196356535,"extinction ptsd",-0.08
"93","acquisition","healthy",-0.07,-0.0299262417209167,0.0436024552899683,Inf,-0.115385483726772,0.0555330002849391,"acquisition healthy",-0.07
"94","extinction","healthy",-0.07,-0.0302531718158315,0.0441174540089811,Inf,-0.116721792763037,0.0562154491313736,"extinction healthy",-0.07
"95","acquisition","ptsd",-0.07,-0.0614839872382137,0.0437207405510774,Inf,-0.147175064095745,0.0242070896193179,"acquisition ptsd",-0.07
"96","extinction","ptsd",-0.07,0.0092758710368062,0.0437222353339666,Inf,-0.0764181355413529,0.0949698776149653,"extinction ptsd",-0.07
"97","acquisition","healthy",-0.06,-0.0293331120712646,0.0435671167407378,Inf,-0.114723091793363,0.0560568676508336,"acquisition healthy",-0.06
"98","extinction","healthy",-0.06,-0.0281180370657287,0.0440254428346362,Inf,-0.114406319425043,0.0581702452935852,"extinction healthy",-0.06
"99","acquisition","ptsd",-0.06,-0.0609355044045044,0.0436668641984728,Inf,-0.146520985551312,0.0246499767423037,"acquisition ptsd",-0.06
