subject,stimulus,source_memory
2,tools/measuringcups.jpg,baseline
2,tools/measuringdevice.jpg,acquisition
2,tools/measuringtape.jpg,extinction
2,tools/microwave.jpg,extinction
2,tools/monkeywrench.jpg,acquisition
2,tools/padlock.jpg,acquisition
2,tools/paintbrush.jpg,extinction
2,tools/paintroller.jpg,extinction
2,tools/pliers.jpg,acquisition
2,tools/plow.jpg,extinction
2,tools/plunger.jpg,extinction
2,tools/pruner.jpg,baseline
2,tools/rake.jpg,baseline
2,tools/reflexhammer.jpg,acquisition
2,tools/rollingpin.jpg,baseline
2,tools/ropeandpulley.jpg,acquisition
2,tools/routerplane.jpg,extinction
2,tools/ruler.jpg,extinction
2,tools/sander.jpg,acquisition
2,tools/scissors.jpg,baseline
2,tools/screwdriver.jpg,extinction
2,tools/shoehorn.jpg,acquisition
2,tools/solderingtorch.jpg,baseline
2,tools/sparkplug.jpg,acquisition
2,tools/spoon.jpg,baseline
2,tools/squeegee.jpg,baseline
2,tools/stove.jpg,baseline
2,tools/thermometer.jpg,extinction
2,tools/toaster.jpg,acquisition
2,tools/transmissionwrench.jpg,extinction
2,tools/treadmill.jpg,baseline
2,tools/tubeflaring.jpg,baseline
2,tools/vegetablepeeler.jpg,baseline
2,tools/viceclamp.jpg,acquisition
2,tools/videogamecontroller.jpg,acquisition
2,tools/weedeater.jpg,acquisition
2,tools/weldinghelmet.jpg,extinction
2,tools/wheelbarrow.jpg,extinction
2,tools/woodchipper.jpg,extinction
2,tools/workbench.jpg,extinction
2,tools/wrench.jpg,baseline
3,animals/aardvark.jpg,extinction
3,animals/angelfish.jpg,baseline
3,animals/ant.jpg,acquisition
3,animals/anteater.jpg,extinction
3,animals/assassinbug.jpg,acquisition
3,animals/baboon.jpg,acquisition
3,animals/baldeagle.jpg,baseline
3,animals/boar.jpg,acquisition
3,animals/brown_bear.jpg,acquisition
3,animals/camel.jpg,extinction
3,animals/canary.jpg,baseline
3,animals/carp.jpg,extinction
3,animals/cat.jpg,extinction
3,animals/caterpillarhawkmoth.jpg,acquisition
3,animals/caterpillarpeacockmoth.jpg,acquisition
3,animals/catfish.jpg,acquisition
3,animals/chipmunk.jpg,acquisition
3,animals/cow.jpg,baseline
3,animals/cranebug.jpg,acquisition
3,animals/cricket.jpg,acquisition
3,animals/crow.jpg,baseline
3,animals/dragonfly.jpg,extinction
3,animals/dramaderry.jpg,extinction
3,animals/duck.jpg,baseline
3,animals/elephantafrican.jpg,extinction
3,animals/finch.jpg,acquisition
3,animals/firebug.jpg,acquisition
3,animals/flamingo.jpg,extinction
3,animals/flea.jpg,baseline
3,animals/gerbil.jpg,acquisition
3,animals/giraffe.jpg,baseline
3,animals/goldfish.jpg,extinction
3,animals/halibut.jpg,baseline
3,animals/herculesbeetle.jpg,baseline
3,animals/herring.jpg,acquisition
3,animals/horse.jpg,extinction
3,animals/hummingbird.jpg,baseline
3,animals/hyena.jpg,extinction
3,animals/leopard.jpg,extinction
3,animals/llama.jpg,extinction
3,animals/mahimahi.jpg,acquisition
3,animals/marmot.jpg,extinction
3,animals/mink.jpg,extinction
3,animals/mole.jpg,baseline
3,animals/mouse.jpg,acquisition
3,animals/ostrich.jpg,extinction
3,animals/palmcockatoo.jpg,extinction
3,animals/partridge.jpg,extinction
3,animals/pelican.jpg,acquisition
3,animals/perch.jpg,baseline
3,animals/pigeon.jpg,extinction
3,animals/pike.jpg,baseline
3,animals/porcupine.jpg,baseline
3,animals/prayingmantis.jpg,acquisition
3,animals/quail.jpg,baseline
3,animals/rabbit.jpg,acquisition
3,animals/racoon.jpg,baseline
3,animals/reindeer.jpg,acquisition
3,animals/rhino.jpg,extinction
3,animals/salmon.jpg,baseline
3,animals/seal.jpg,baseline
3,animals/shark.jpg,baseline
3,animals/sheep.jpg,extinction
3,animals/shrimp.jpg,baseline
3,animals/skunk.jpg,baseline
3,animals/snail.jpg,acquisition
3,animals/snapper.jpg,baseline
3,animals/starfish.jpg,acquisition
3,animals/tiger.jpg,extinction
3,animals/turkey.jpg,baseline
3,animals/waterbuffalo.jpg,extinction
3,animals/zebra.jpg,extinction
3,tools/airpump.jpg,baseline
3,tools/beadingtool.jpg,baseline
3,tools/beaker.jpg,extinction
3,tools/benchdogs.jpg,extinction
3,tools/blackboard.jpg,acquisition
3,tools/blower.jpg,extinction
3,tools/broom.jpg,baseline
3,tools/bucket.jpg,extinction
3,tools/camera.jpg,baseline
3,tools/campingstove.jpg,baseline
3,tools/carpetblower.jpg,acquisition
3,tools/chainsaw.jpg,acquisition
3,tools/cheesegrater.jpg,baseline
3,tools/chisel.jpg,baseline
3,tools/drillbit.jpg,baseline
3,tools/duffelbag.jpg,acquisition
3,tools/edger.jpg,acquisition
3,tools/electricbreaker.jpg,baseline
3,tools/eraser.jpg,acquisition
