subject,roi,phase,condition,beta
9,hc_tail,baseline,CS+,-4.724890555318796
9,hc_tail,baseline,CS-,-11.610612578546775
9,hc_tail,extinction,CS+,-12.56156686061404
9,hc_tail,extinction,CS-,-7.7880496542391375
10,amyg_bla,acquisition,CS+,16.275154921401924
10,amyg_bla,acquisition,CS-,0.5991390436464482
10,amyg_bla,baseline,CS+,11.371917365187624
10,amyg_bla,baseline,CS-,2.7023235466127153
10,amyg_bla,extinction,CS+,7.391589751824409
10,amyg_bla,extinction,CS-,5.837136624023646
10,amyg_cem,acquisition,CS+,19.756096570946585
10,amyg_cem,acquisition,CS-,17.318684347945712
10,amyg_cem,baseline,CS+,19.510568179635573
10,amyg_cem,baseline,CS-,14.663021257321816
10,amyg_cem,extinction,CS+,12.367609616829819
10,amyg_cem,extinction,CS-,19.57599165996847
10,hc_body,acquisition,CS+,-12.862083364345105
10,hc_body,acquisition,CS-,-4.9808991593032665
10,hc_body,baseline,CS+,-13.180284328709144
10,hc_body,baseline,CS-,-8.416085514772655
10,hc_body,extinction,CS+,-6.509586851299515
10,hc_body,extinction,CS-,-12.266687439226327
10,hc_tail,acquisition,CS+,-2.8146604326864084
10,hc_tail,acquisition,CS-,12.251398180749106
10,hc_tail,baseline,CS+,1.1384090361563302
10,hc_tail,baseline,CS-,0.34518437249999906
10,hc_tail,extinction,CS+,8.081341606275076
10,hc_tail,extinction,CS-,-4.611743650057663
12,amyg_bla,acquisition,CS+,-2.0737954577933704
12,amyg_bla,acquisition,CS-,-1.4866904065752076
12,amyg_bla,baseline,CS+,-7.072602952793536
12,amyg_bla,baseline,CS-,-2.0675318202713417
12,amyg_bla,extinction,CS+,-5.633028482858625
12,amyg_bla,extinction,CS-,-5.83686708703578
12,amyg_cem,acquisition,CS+,51.08773805027525
12,amyg_cem,acquisition,CS-,35.461812015973095
12,amyg_cem,baseline,CS+,22.126785428569708
12,amyg_cem,baseline,CS-,50.01920981105003
12,amyg_cem,extinction,CS+,35.67013730768624
12,amyg_cem,extinction,CS-,48.46852230991071
12,hc_body,acquisition,CS+,-2.366564909028856
12,hc_body,acquisition,CS-,5.746407167328112
12,hc_body,baseline,CS+,-8.850288544846329
12,hc_body,baseline,CS-,-1.6089337908536738
12,hc_body,extinction,CS+,-7.856899341309062
12,hc_body,extinction,CS-,9.302532435591937
12,hc_tail,acquisition,CS+,27.14675484335533
