"","condition","ev","yvar","SE","df","LCL","UCL","tvar","xvar"
"49","CS-",0.24,-0.00523794805933214,0.0335261897499185,Inf,-0.0709480725080283,0.0604721763893641,"CS-",0.24
"50","CS+",0.24,-0.0963782437312524,0.033683540848516,Inf,-0.162396770666127,-0.0303597167963774,"CS+",0.24
"51","CS-",0.25,-0.00475854705965076,0.033400791578621,Inf,-0.0702228956088767,0.0607058014895751,"CS-",0.25
"52","CS+",0.25,-0.0949914395150216,0.0335537527771663,Inf,-0.160755586504428,-0.0292272925256148,"CS+",0.25
"53","CS-",0.26,-0.00427914605996938,0.0332786756600015,Inf,-0.0695041518067619,0.0609458596868232,"CS-",0.26
"54","CS+",0.26,-0.0936046352987907,0.0334272234149696,Inf,-0.159120789295305,-0.0280884813022764,"CS+",0.26
"55","CS-",0.27,-0.003799745060288,0.033159878256152,Inf,-0.0687919121740787,0.0611924220535027,"CS-",0.27
"56","CS+",0.27,-0.0922178310825599,0.0333039899036576,Inf,-0.157492451835214,-0.0269432103299055,"CS+",0.27
"57","CS-",0.28,-0.00332034406060662,0.033044435158075,Inf,-0.0680862468599027,0.0614455587386895,"CS-",0.28
"58","CS+",0.28,-0.090831026866329,0.0331840889619875,Inf,-0.155870646091598,-0.0257914076410603,"CS+",0.28
"59","CS-",0.29,-0.00284094306092525,0.0329323816409287,Inf,-0.0673872250022736,0.0617053388804231,"CS-",0.29
"60","CS+",0.29,-0.0894442226500982,0.0330675568410614,Inf,-0.15425544311531,-0.0246330021848868,"CS+",0.29
"61","CS-",0.3,-0.00236154206124387,0.032823752418721,Inf,-0.0666949146393965,0.0619718305169087,"CS-",0.3
"62","CS+",0.3,-0.0880574184338673,0.0329544292789617,Inf,-0.152646912951704,-0.0234679239160301,"CS+",0.3
"63","CS-",0.31,-0.00188214106156249,0.0327185815985558,Inf,-0.0660093826199668,0.0622451004968419,"CS-",0.31
"64","CS+",0.31,-0.0866706142176365,0.0328447414548036,Inf,-0.151045124550581,-0.0222961038846918,"CS+",0.31
