roi,cope,subject,phase,beta
hc_tail,CS-B,103,memory_run-03,-0.05236084
hc_tail,CS-B,104,memory_run-01,0.19511041
hc_tail,CS-B,104,memory_run-02,0.10865911
hc_tail,CS-B,104,memory_run-03,-0.017236074
hc_tail,CS-B,105,memory_run-01,0.21367033
hc_tail,CS-B,105,memory_run-02,0.20653732
hc_tail,CS-B,105,memory_run-03,0.0901727
hc_tail,CS-B,106,memory_run-01,0.087912895
hc_tail,CS-B,106,memory_run-02,0.36251962
hc_tail,CS-B,106,memory_run-03,-0.30694535
hc_tail,CS-B,107,memory_run-01,0.07366529
hc_tail,CS-B,107,memory_run-02,-0.010750822
hc_tail,CS-B,107,memory_run-03,-0.1287316
hc_tail,CS-B,108,memory_run-01,-0.2349692
hc_tail,CS-B,108,memory_run-02,-0.1188149
hc_tail,CS-B,108,memory_run-03,0.13167116
hc_tail,CS-B,109,memory_run-01,-0.06592304
hc_tail,CS-B,109,memory_run-02,-0.31511167
hc_tail,CS-B,109,memory_run-03,0.038798086
hc_tail,CS-B,110,memory_run-01,0.1367159
hc_tail,CS-B,110,memory_run-02,0.10598262
hc_tail,CS-B,110,memory_run-03,0.035383455
hc_tail,CS-B,111,memory_run-01,0.117251165
hc_tail,CS-B,111,memory_run-02,-0.15691537
hc_tail,CS-B,111,memory_run-03,-0.032589726
hc_tail,CS-B,112,memory_run-01,-0.083004646
hc_tail,CS-B,112,memory_run-02,0.11464607
hc_tail,CS-B,112,memory_run-03,0.12043954
hc_tail,CS-B,113,memory_run-01,0.31741413
hc_tail,CS-B,113,memory_run-02,-0.09187955
hc_tail,CS-B,113,memory_run-03,0.15203947
hc_tail,CS-B,114,memory_run-01,0.17437904
hc_tail,CS-B,114,memory_run-02,0.22388327
hc_tail,CS-B,114,memory_run-03,0.053865366
hc_tail,CS-B,115,memory_run-01,-0.019095644
hc_tail,CS-B,115,memory_run-02,0.029447712
hc_tail,CS-B,115,memory_run-03,-0.033565767
hc_tail,CS-B,116,memory_run-01,0.062853456
hc_tail,CS-B,116,memory_run-02,0.18564288
hc_tail,CS-B,116,memory_run-03,0.17281921
hc_tail,CS-B,117,memory_run-01,0.19156703
hc_tail,CS-B,117,memory_run-02,-0.31358847
hc_tail,CS-B,117,memory_run-03,0.6200533
hc_tail,CS-B,118,memory_run-01,0.048058774
hc_tail,CS-B,118,memory_run-02,-0.051338173
hc_tail,CS-B,118,memory_run-03,0.037347488
hc_tail,CS-B,120,memory_run-01,0.25395983
hc_tail,CS-B,120,memory_run-02,0.1163378
hc_tail,CS-B,120,memory_run-03,0.10607041
hc_tail,CS-B,121,memory_run-01,-0.054951746
hc_tail,CS-B,121,memory_run-02,-0.00051499135
hc_tail,CS-B,121,memory_run-03,0.35060596
hc_tail,CS-B,122,memory_run-01,0.19152056
hc_tail,CS-B,122,memory_run-02,0.31754208
hc_tail,CS-B,122,memory_run-03,-0.049166396
hc_tail,CS-B,123,memory_run-01,-0.036328506
hc_tail,CS-B,123,memory_run-02,0.009891815
hc_tail,CS-B,123,memory_run-03,0.38003108
hc_tail,CS-B,124,memory_run-01,0.12089869
hc_tail,CS-B,124,memory_run-02,0.27937734
hc_tail,CS-B,124,memory_run-03,-0.11585678
hc_tail,CS-B,125,memory_run-01,0.2662637
hc_tail,CS-B,125,memory_run-02,0.37889758
hc_tail,CS-B,125,memory_run-03,0.5262408
hc_tail,CS+A,1,memory_run-01,-0.09054673
hc_tail,CS+A,1,memory_run-02,-0.28495136
hc_tail,CS+A,1,memory_run-03,-0.0710034
hc_tail,CS+A,2,memory_run-01,0.055126455
hc_tail,CS+A,2,memory_run-02,-0.08487161
hc_tail,CS+A,2,memory_run-03,0.025369601
hc_tail,CS+A,3,memory_run-01,-0.34626055
hc_tail,CS+A,3,memory_run-02,-0.14704986
hc_tail,CS+A,3,memory_run-03,0.28255782
hc_tail,CS+A,4,memory_run-01,-0.25230685
hc_tail,CS+A,4,memory_run-02,0.15590733
hc_tail,CS+A,4,memory_run-03,0.13721809
hc_tail,CS+A,5,memory_run-01,-0.06593712
hc_tail,CS+A,5,memory_run-02,-0.090736866
hc_tail,CS+A,5,memory_run-03,-0.10367949
hc_tail,CS+A,6,memory_run-01,0.10452918
hc_tail,CS+A,6,memory_run-02,-0.0387216
hc_tail,CS+A,6,memory_run-03,0.22600155
hc_tail,CS+A,7,memory_run-01,0.09820861
hc_tail,CS+A,7,memory_run-02,0.16043025
hc_tail,CS+A,7,memory_run-03,0.023797521
hc_tail,CS+A,8,memory_run-01,0.40848637
hc_tail,CS+A,8,memory_run-02,0.06930101
hc_tail,CS+A,8,memory_run-03,0.18256213
hc_tail,CS+A,9,memory_run-01,0.031481314
hc_tail,CS+A,9,memory_run-02,-0.22662793
hc_tail,CS+A,9,memory_run-03,-0.13305962
hc_tail,CS+A,10,memory_run-01,-0.10413442
hc_tail,CS+A,10,memory_run-02,0.26497218
hc_tail,CS+A,10,memory_run-03,0.026359098
hc_tail,CS+A,12,memory_run-01,0.3298757
hc_tail,CS+A,12,memory_run-02,-0.05769257
hc_tail,CS+A,12,memory_run-03,0.25925526
hc_tail,CS+A,13,memory_run-01,0.24437831
hc_tail,CS+A,13,memory_run-02,0.20810685
hc_tail,CS+A,13,memory_run-03,0.10649412
hc_tail,CS+A,14,memory_run-01,0.065851934
hc_tail,CS+A,14,memory_run-02,-0.1805004
hc_tail,CS+A,14,memory_run-03,0.044753592
hc_tail,CS+A,15,memory_run-01,0.1521574
hc_tail,CS+A,15,memory_run-02,0.15217581
hc_tail,CS+A,15,memory_run-03,-0.012218616
hc_tail,CS+A,16,memory_run-01,0.043580215
hc_tail,CS+A,16,memory_run-02,-0.11476129
hc_tail,CS+A,16,memory_run-03,-0.012871261
hc_tail,CS+A,17,memory_run-01,0.13440847
hc_tail,CS+A,17,memory_run-02,0.16679096
hc_tail,CS+A,17,memory_run-03,0.2396507
hc_tail,CS+A,18,memory_run-01,0.1488614
hc_tail,CS+A,18,memory_run-02,0.09285136
hc_tail,CS+A,18,memory_run-03,0.005950354
hc_tail,CS+A,19,memory_run-01,0.02866288
hc_tail,CS+A,19,memory_run-02,-0.23886625
hc_tail,CS+A,19,memory_run-03,0.010548484
hc_tail,CS+A,20,memory_run-01,0.20022243
hc_tail,CS+A,20,memory_run-02,0.16173074
hc_tail,CS+A,20,memory_run-03,0.14044063
hc_tail,CS+A,21,memory_run-01,0.27122134
hc_tail,CS+A,21,memory_run-02,0.19061325
hc_tail,CS+A,21,memory_run-03,0.34248477
hc_tail,CS+A,23,memory_run-01,0.18364151
hc_tail,CS+A,23,memory_run-02,0.42127466
hc_tail,CS+A,23,memory_run-03,0.45179093
hc_tail,CS+A,24,memory_run-01,-0.21630779
hc_tail,CS+A,24,memory_run-02,-0.28698403
hc_tail,CS+A,24,memory_run-03,0.03007613
hc_tail,CS+A,25,memory_run-01,0.14806616
hc_tail,CS+A,25,memory_run-02,-0.052057266
hc_tail,CS+A,25,memory_run-03,-0.15113536
hc_tail,CS+A,26,memory_run-01,0.08070486
hc_tail,CS+A,26,memory_run-02,0.036160745
hc_tail,CS+A,26,memory_run-03,0.057976115
hc_tail,CS+A,101,memory_run-01,-0.095006846
hc_tail,CS+A,101,memory_run-02,0.20798524
hc_tail,CS+A,101,memory_run-03,0.15309101
hc_tail,CS+A,102,memory_run-01,-0.005283367
hc_tail,CS+A,102,memory_run-02,0.21357605
hc_tail,CS+A,102,memory_run-03,0.35230488
hc_tail,CS+A,103,memory_run-01,0.05931005
hc_tail,CS+A,103,memory_run-02,-0.1906861
hc_tail,CS+A,103,memory_run-03,-0.14477243
hc_tail,CS+A,104,memory_run-01,0.074877426
hc_tail,CS+A,104,memory_run-02,0.06444488
hc_tail,CS+A,104,memory_run-03,0.10924332
hc_tail,CS+A,105,memory_run-01,0.2664151
hc_tail,CS+A,105,memory_run-02,0.10920516
hc_tail,CS+A,105,memory_run-03,-0.041093834
hc_tail,CS+A,106,memory_run-01,0.22464079
hc_tail,CS+A,106,memory_run-02,0.4459962
hc_tail,CS+A,106,memory_run-03,-0.13669857
hc_tail,CS+A,107,memory_run-01,0.09744764
hc_tail,CS+A,107,memory_run-02,0.25466615
hc_tail,CS+A,107,memory_run-03,-0.23823681
hc_tail,CS+A,108,memory_run-01,-0.048314456
hc_tail,CS+A,108,memory_run-02,0.013287423
hc_tail,CS+A,108,memory_run-03,0.1349897
hc_tail,CS+A,109,memory_run-01,-0.037260536
hc_tail,CS+A,109,memory_run-02,-0.16620113
hc_tail,CS+A,109,memory_run-03,-0.015369227
hc_tail,CS+A,110,memory_run-01,0.40221906
hc_tail,CS+A,110,memory_run-02,-0.08285741
hc_tail,CS+A,110,memory_run-03,0.022868415
hc_tail,CS+A,111,memory_run-01,0.015239075
hc_tail,CS+A,111,memory_run-02,-0.30623236
hc_tail,CS+A,111,memory_run-03,-0.21015872
hc_tail,CS+A,112,memory_run-01,0.09143641
