subject,roi,phase,condition,beta
18,sgACC,baseline,CS-,-26.428357041009697
18,sgACC,extinction,CS+,-25.158848937032193
18,sgACC,extinction,CS-,-18.78576775545086
19,rACC,acquisition,CS+,68.49580288279883
19,rACC,acquisition,CS-,100.35880845342543
19,rACC,baseline,CS+,74.01529596220932
19,rACC,baseline,CS-,55.797081266876894
19,rACC,extinction,CS+,55.69272688043311
19,rACC,extinction,CS-,64.16555338875621
19,sgACC,acquisition,CS+,-113.99574456622514
19,sgACC,acquisition,CS-,-105.62836228846263
19,sgACC,baseline,CS+,-112.69744197202924
19,sgACC,baseline,CS-,-120.47921164246897
19,sgACC,extinction,CS+,-92.47207089459523
19,sgACC,extinction,CS-,-101.51202707621579
20,rACC,acquisition,CS+,70.45882685933961
20,rACC,acquisition,CS-,7.102954942138964
20,rACC,baseline,CS+,5.660312580496073
20,rACC,baseline,CS-,-18.41102305027878
20,rACC,extinction,CS+,10.458892018740114
20,rACC,extinction,CS-,7.293889186009765
20,sgACC,acquisition,CS+,-39.40325852235997
20,sgACC,acquisition,CS-,-17.98593656815705
20,sgACC,baseline,CS+,-44.50908081861767
20,sgACC,baseline,CS-,-39.34685860255574
20,sgACC,extinction,CS+,-26.712078260862825
20,sgACC,extinction,CS-,-31.9665731435155
21,rACC,acquisition,CS+,71.21976082646815
21,rACC,acquisition,CS-,86.29389568926771
21,rACC,baseline,CS+,81.2666414604181
21,rACC,baseline,CS-,68.36891838237284
21,rACC,extinction,CS+,68.00789781649065
21,rACC,extinction,CS-,94.08417001133144
21,sgACC,acquisition,CS+,-26.583137254384066
21,sgACC,acquisition,CS-,-49.43994797856412
21,sgACC,baseline,CS+,-12.330339850617701
21,sgACC,baseline,CS-,-24.941892858555118
21,sgACC,extinction,CS+,-30.021928514966028
21,sgACC,extinction,CS-,-10.73191754116586
23,rACC,acquisition,CS+,34.55161034054338
23,rACC,acquisition,CS-,28.987253525061533
23,rACC,baseline,CS+,35.11739280255428
23,rACC,baseline,CS-,29.241239476207657
23,rACC,extinction,CS+,44.3267811917079
23,rACC,extinction,CS-,36.180672954334746
23,sgACC,acquisition,CS+,-49.79262149095202
23,sgACC,acquisition,CS-,-33.329560496933965
23,sgACC,baseline,CS+,-54.76283549009166
23,sgACC,baseline,CS-,-42.96296897674825
23,sgACC,extinction,CS+,-67.40172881326482
23,sgACC,extinction,CS-,-47.25172545212958
24,rACC,acquisition,CS+,67.64356385356737
24,rACC,acquisition,CS-,66.9669136063224
24,rACC,baseline,CS+,75.2599329814434
24,rACC,baseline,CS-,66.15571856127444
24,rACC,extinction,CS+,61.00821388284566
24,rACC,extinction,CS-,60.89793273622502
24,sgACC,acquisition,CS+,-44.254046473210856
24,sgACC,acquisition,CS-,-26.446613377870786
24,sgACC,baseline,CS+,-37.64587788122987
24,sgACC,baseline,CS-,20.86276755956785
24,sgACC,extinction,CS+,-20.312966089902652
24,sgACC,extinction,CS-,-9.778052115663682
