group,memory_phase,roi,condition,el,subject,rsa
healthy,encoding,A13,CS+,early,9,0.2494242104144746
healthy,encoding,A13,CS+,early,10,0.16212353098602877
healthy,encoding,A13,CS+,early,12,0.031059544162608192
healthy,encoding,A13,CS+,early,13,0.1332093734492176
healthy,encoding,A13,CS+,early,14,0.09711993255774322
healthy,encoding,A13,CS+,early,15,0.2521745071155393
healthy,encoding,A13,CS+,early,16,0.16940649009536354
healthy,encoding,A13,CS+,early,17,0.020286209874543652
healthy,encoding,A13,CS+,early,18,0.28744823895838295
healthy,encoding,A13,CS+,early,19,0.2013845223559306
healthy,encoding,A13,CS+,early,21,0.10358048098741962
healthy,encoding,A13,CS+,early,23,0.0018254134664958009
healthy,encoding,A13,CS+,early,24,-0.028123018346897493
healthy,encoding,A13,CS+,early,25,0.06524120443808629
healthy,encoding,A13,CS+,early,26,0.8090202939665364
healthy,encoding,A10m,CS+,early,1,0.4993334567754547
healthy,encoding,A10m,CS+,early,2,0.2805469475823854
healthy,encoding,A10m,CS+,early,3,0.016242548869075713
healthy,encoding,A10m,CS+,early,4,0.26934168473630027
healthy,encoding,A10m,CS+,early,5,0.2764969817528884
healthy,encoding,A10m,CS+,early,6,0.17648435896430203
healthy,encoding,A10m,CS+,early,7,0.4634692540057237
healthy,encoding,A10m,CS+,early,8,0.11981654958326383
healthy,encoding,A10m,CS+,early,9,0.04020755995327669
healthy,encoding,A10m,CS+,early,10,0.056120417494852116
healthy,encoding,A10m,CS+,early,12,0.05159785435310612
healthy,encoding,A10m,CS+,early,13,0.40608298717661956
healthy,encoding,A10m,CS+,early,14,0.4182743691486926
healthy,encoding,A10m,CS+,early,15,0.22338589475213352
healthy,encoding,A10m,CS+,early,16,0.2843106048071693
healthy,encoding,A10m,CS+,early,17,0.14955747522404902
healthy,encoding,A10m,CS+,early,18,0.14825960193007648
healthy,encoding,A10m,CS+,early,19,0.30248782427466736
healthy,encoding,A10m,CS+,early,21,0.1334861297948107
healthy,encoding,A10m,CS+,early,23,0.10150536673955779
healthy,encoding,A10m,CS+,early,24,0.5178547322403987
healthy,encoding,A10m,CS+,early,25,0.018344858070166885
healthy,encoding,A10m,CS+,early,26,0.7725367985761972
healthy,encoding,A9m,CS+,early,1,1.3441037427079556
healthy,encoding,A9m,CS+,early,2,0.48519388024322396
healthy,encoding,A9m,CS+,early,3,0.11813854174678697
healthy,encoding,A9m,CS+,early,4,0.43274819476557513
healthy,encoding,A9m,CS+,early,5,0.39162192504434606
