subject,phase,block,condition,hc_cr,hc_hr,lc_cr,lc_hr
2,baseline,2,CS+,0.5833333333333333,1.0,0.5625,1.0
2,baseline,2,CS-,0.20833333333333331,0.5,0.14583333333333331,0.5
2,baseline,3,CS+,0.5833333333333333,1.0,0.5625,1.0
2,baseline,3,CS-,0.20833333333333331,0.5,0.14583333333333331,0.5
2,baseline,4,CS+,0.5833333333333333,1.0,0.5625,1.0
2,baseline,4,CS-,0.4583333333333333,0.75,0.3958333333333333,0.75
2,baseline,5,CS+,0.08333333333333331,0.5,0.0625,0.5
2,baseline,5,CS-,0.4583333333333333,0.75,0.3958333333333333,0.75
2,baseline,6,CS+,0.5833333333333333,1.0,0.5625,1.0
2,baseline,6,CS-,0.4583333333333333,0.75,0.3958333333333333,0.75
2,extinction,1,CS+,0.5833333333333333,1.0,0.5625,1.0
2,extinction,1,CS-,0.20833333333333331,0.5,0.14583333333333331,0.5
2,extinction,2,CS+,0.3333333333333333,0.75,0.3125,0.75
2,extinction,2,CS-,-0.041666666666666685,0.25,-0.10416666666666669,0.25
2,extinction,3,CS+,0.3333333333333333,0.75,0.3125,0.75
2,extinction,3,CS-,0.20833333333333331,0.5,0.3958333333333333,0.75
2,extinction,4,CS+,0.5833333333333333,1.0,0.5625,1.0
2,extinction,4,CS-,0.7083333333333333,1.0,0.6458333333333333,1.0
2,extinction,5,CS+,0.5833333333333333,1.0,0.5625,1.0
2,extinction,5,CS-,0.20833333333333331,0.5,0.14583333333333331,0.5
2,extinction,6,CS+,0.5833333333333333,1.0,0.5625,1.0
2,extinction,6,CS-,-0.041666666666666685,0.25,0.14583333333333331,0.5
2,fear_conditioning,1,CS+,0.5833333333333333,1.0,0.5625,1.0
2,fear_conditioning,1,CS-,0.20833333333333331,0.5,0.14583333333333331,0.5
2,fear_conditioning,2,CS+,0.08333333333333331,0.5,0.0625,0.5
2,fear_conditioning,2,CS-,0.20833333333333331,0.5,0.14583333333333331,0.5
2,fear_conditioning,3,CS+,0.08333333333333331,0.5,0.0625,0.5
2,fear_conditioning,3,CS-,0.4583333333333333,0.75,0.3958333333333333,0.75
