group,phase,condition,subject,proba
healthy,foil,CS-,4,0.7597709648518246
healthy,foil,CS-,5,0.7069617833160645
healthy,foil,CS-,6,0.8882277152762729
healthy,foil,CS-,7,0.5736465928488023
healthy,foil,CS-,8,0.5139257253142516
healthy,foil,CS-,9,0.8599813127881207
healthy,foil,CS-,10,0.8493972392186331
healthy,foil,CS-,12,0.8039837302150025
healthy,foil,CS-,13,0.7149271316331308
healthy,foil,CS-,14,0.013569237237111537
healthy,foil,CS-,15,0.6235122434440658
healthy,foil,CS-,16,0.2878583826355311
healthy,foil,CS-,17,0.6926421578099274
healthy,foil,CS-,18,0.5275989085679639
healthy,foil,CS-,19,0.7368308277868475
healthy,foil,CS-,20,0.49358402478730684
healthy,foil,CS-,21,0.8540233344355133
healthy,foil,CS-,23,0.3569812840852089
healthy,foil,CS-,24,0.8478119999869387
healthy,foil,CS-,25,0.4840038931671347
healthy,foil,CS-,26,0.6453357029283328
ptsd,acquisition,CS+,101,0.5296400051252314
ptsd,acquisition,CS+,102,0.7276044855248883
ptsd,acquisition,CS+,103,0.4865409743944163
ptsd,acquisition,CS+,104,0.38864436130375407
ptsd,acquisition,CS+,105,0.1762775993533192
ptsd,acquisition,CS+,106,0.3604782799964535
ptsd,acquisition,CS+,107,0.5801793795666298
ptsd,acquisition,CS+,108,0.913969589457876
ptsd,acquisition,CS+,109,0.38580427019538105
ptsd,acquisition,CS+,110,0.6616972276015719
ptsd,acquisition,CS+,111,0.23144930100069558
ptsd,acquisition,CS+,112,0.7964070085133654
ptsd,acquisition,CS+,113,0.6244821183697825
ptsd,acquisition,CS+,114,0.614197265878916
ptsd,acquisition,CS+,115,0.9071114057466937
ptsd,acquisition,CS+,116,0.5006314951823087
ptsd,acquisition,CS+,117,0.17635072445921984
ptsd,acquisition,CS+,118,0.5607148948330756
ptsd,acquisition,CS+,120,0.7871414488544685
ptsd,acquisition,CS+,121,0.8348110214555963
ptsd,acquisition,CS+,122,0.8324671749311446
ptsd,acquisition,CS+,123,0.632554653671509
ptsd,acquisition,CS+,124,0.6873613626209952
ptsd,acquisition,CS+,125,0.4851770191868251
ptsd,acquisition,CS-,101,0.19280498822366796
ptsd,acquisition,CS-,102,0.5997667654761724
ptsd,acquisition,CS-,103,0.5123012586349246
ptsd,acquisition,CS-,104,0.3942471539768286
ptsd,acquisition,CS-,105,0.0611246875709096
ptsd,acquisition,CS-,106,0.27078570424222753
ptsd,acquisition,CS-,107,0.7269829317613273
ptsd,acquisition,CS-,108,0.98539793513593
ptsd,acquisition,CS-,109,0.2684765215128905
ptsd,acquisition,CS-,110,0.5766708572290407
ptsd,acquisition,CS-,111,0.2178738341239417
ptsd,acquisition,CS-,112,0.8952679811298795
ptsd,acquisition,CS-,113,0.8940976159483166
ptsd,acquisition,CS-,114,0.7324297406539535
ptsd,acquisition,CS-,115,0.8594358848535222
ptsd,acquisition,CS-,116,0.447216517699305
ptsd,acquisition,CS-,117,0.2994230466850375
ptsd,acquisition,CS-,118,0.39583605225290897
ptsd,acquisition,CS-,120,0.7435412965730148
ptsd,acquisition,CS-,121,0.8978395857249059
ptsd,acquisition,CS-,122,0.743940773474681
ptsd,acquisition,CS-,123,0.7703375493608093
ptsd,acquisition,CS-,124,0.7604220204720001
ptsd,acquisition,CS-,125,0.5081046353937652
ptsd,baseline,CS+,101,0.3920189837897398
ptsd,baseline,CS+,102,0.7071110190073268
ptsd,baseline,CS+,103,0.37411407463171015
ptsd,baseline,CS+,104,0.32408850255061894
ptsd,baseline,CS+,105,0.0769616201892486
ptsd,baseline,CS+,106,0.3391217521526295
ptsd,baseline,CS+,107,0.7562531701647787
ptsd,baseline,CS+,108,0.9350851219715492
ptsd,baseline,CS+,109,0.3805523346104012
ptsd,baseline,CS+,110,0.6155132541005177
ptsd,baseline,CS+,111,0.20192943212744388
ptsd,baseline,CS+,112,0.6784458875880715
