"","phase","group","hc_tail_ers","yvar","SE","df","LCL","UCL","tvar","xvar"
"16","extinction","ptsd",-0.17,0.0270079299062666,0.0451682140910261,Inf,-0.0615201429581391,0.115536002770672,"extinction ptsd",-0.17
"17","acquisition","healthy",-0.16,-0.0369228965768287,0.0455412243546655,Inf,-0.126182056123831,0.052336262970174,"acquisition healthy",-0.16
"18","extinction","healthy",-0.16,0.0109074164478826,0.0449616997241014,Inf,-0.0772158956950606,0.0990307285908258,"extinction healthy",-0.16
"19","acquisition","ptsd",-0.16,-0.0299299107428699,0.0455963108474779,Inf,-0.11929703783182,0.0594372163460797,"acquisition ptsd",-0.16
"20","extinction","ptsd",-0.16,0.0262131531213548,0.0450613926359076,Inf,-0.0621055535382425,0.114531859780952,"extinction ptsd",-0.16
"21","acquisition","healthy",-0.15,-0.0364001150214858,0.045401726442313,Inf,-0.125385863684359,0.0525856336413875,"acquisition healthy",-0.15
"22","extinction","healthy",-0.15,0.0100384811505167,0.0448543847709445,Inf,-0.0778744975492365,0.0979514598502698,"extinction healthy",-0.15
"23","acquisition","ptsd",-0.15,-0.0311973907520793,0.0454630451619833,Inf,-0.120303321897084,0.0579085403929259,"acquisition ptsd",-0.15
"24","extinction","ptsd",-0.15,0.0254183763364431,0.044960539899416,Inf,-0.0627026625918885,0.113539415264775,"extinction ptsd",-0.15
"25","acquisition","healthy",-0.14,-0.0358773334661429,0.0452692995349636,Inf,-0.124603530160027,0.0528488632277415,"acquisition healthy",-0.14
"26","extinction","healthy",-0.14,0.00916954585315074,0.0447543377652627,Inf,-0.078547344318705,0.0968864360250064,"extinction healthy",-0.14
"27","acquisition","ptsd",-0.14,-0.0324648707612887,0.0453359107911291,Inf,-0.121321623118222,0.0563918815956451,"acquisition ptsd",-0.14
"28","extinction","ptsd",-0.14,0.0246235995515313,0.0448656961324733,Inf,-0.0633115490094343,0.112558748112497,"extinction ptsd",-0.14
"29","acquisition","healthy",-0.13,-0.0353545519108,0.0451440058596141,Inf,-0.123835177513509,0.0531260736919088,"acquisition healthy",-0.13
"30","extinction","healthy",-0.13,0.00830061055578479,0.044661607550133,Inf,-0.0792345317341381,0.0958357528457076,"extinction healthy",-0.13
"31","acquisition","ptsd",-0.13,-0.0337323507704981,0.0452149594546083,Inf,-0.122352042863969,0.0548873413229731,"acquisition ptsd",-0.13
"32","extinction","ptsd",-0.13,0.0238288227666195,0.0447768995186219,Inf,-0.0639322876292483,0.111589933162487,"extinction ptsd",-0.13
"33","acquisition","healthy",-0.12,-0.0348317703554571,0.0450259049652806,Inf,-0.12308092245873,0.0534173817478161,"acquisition healthy",-0.12
"34","extinction","healthy",-0.12,0.00743167525841884,0.0445762397880819,Inf,-0.079936149292443,0.0947994998092807,"extinction healthy",-0.12
"35","acquisition","ptsd",-0.12,-0.0349998307797075,0.0451002408980542,Inf,-0.123394678633974,0.0533950170745591,"acquisition ptsd",-0.12
"36","extinction","ptsd",-0.12,0.0230340459817078,0.0446941861005992,Inf,-0.0645649490937973,0.110633041057213,"extinction ptsd",-0.12
"37","acquisition","healthy",-0.11,-0.0343089888001142,0.0449150535906959,Inf,-0.122340876201565,0.0537228986013361,"acquisition healthy",-0.11
"38","extinction","healthy",-0.11,0.00656273996105289,0.0444982768526451,Inf,-0.0806522800442238,0.0937777599663295,"extinction healthy",-0.11
"39","acquisition","ptsd",-0.11,-0.0362673107889169,0.044991802797878,Inf,-0.124449623872286,0.0519150022944525,"acquisition ptsd",-0.11
"40","extinction","ptsd",-0.11,0.022239269196796,0.0446175897100473,Inf,-0.0652095997118815,0.109688138105474,"extinction ptsd",-0.11
"41","acquisition","healthy",-0.1,-0.0337862072447713,0.0448115055358628,Inf,-0.12161514418808,0.0540427296985371,"acquisition healthy",-0.1
"42","extinction","healthy",-0.1,0.00569380466368694,0.044427757726362,Inf,-0.0813830003938537,0.0927706097212276,"extinction healthy",-0.1
"43","acquisition","ptsd",-0.1,-0.0375347907981262,0.0448896906683901,Inf,-0.125516967785315,0.0504473861890621,"acquisition ptsd",-0.1
"44","extinction","ptsd",-0.1,0.0214444924118842,0.0445471419006666,Inf,-0.0658663013276175,0.108755286151386,"extinction ptsd",-0.1
"45","acquisition","healthy",-0.09,-0.0332634256894284,0.0447153115380989,Inf,-0.120903825861591,0.0543769744827337,"acquisition healthy",-0.09
"46","extinction","healthy",-0.09,0.00482486936632099,0.0443647179057592,Inf,-0.0821283799132462,0.0917781186458882,"extinction healthy",-0.09
"47","acquisition","ptsd",-0.09,-0.0388022708073356,0.0447939477715945,Inf,-0.126596795165029,0.0489922535503577,"acquisition ptsd",-0.09
"48","extinction","ptsd",-0.09,0.0206497156269724,0.0444828718851091,Inf,-0.0665351111967508,0.107834542450696,"extinction ptsd",-0.09
"49","acquisition","healthy",-0.08,-0.0327406441340855,0.0446265191531986,Inf,-0.120207014429742,0.0547257261615707,"acquisition healthy",-0.08
"50","extinction","healthy",-0.08,0.00395593406895504,0.0443091893138484,Inf,-0.0828884811703548,0.0908003493082649,"extinction healthy",-0.08
"51","acquisition","ptsd",-0.08,-0.040069750816545,0.0447046150300492,Inf,-0.127689186218169,0.0475496845850793,"acquisition ptsd",-0.08
"52","extinction","ptsd",-0.08,0.0198549388420607,0.0444248064758962,Inf,-0.0672160818708576,0.106925959554979,"extinction ptsd",-0.08
"53","acquisition","healthy",-0.07,-0.0322178625787426,0.0445451726423341,Inf,-0.119524796642836,0.0550890714853512,"acquisition healthy",-0.07
"54","extinction","healthy",-0.07,0.00308699877158909,0.0442612002206326,Inf,-0.083663359573367,0.0898373571165452,"extinction healthy",-0.07
"55","acquisition","ptsd",-0.07,-0.0413372308257544,0.0446217309431788,Inf,-0.128794216402221,0.0461197547507125,"acquisition ptsd",-0.07
"56","extinction","ptsd",-0.07,0.0190601620571489,0.0443729700306337,Inf,-0.0679092610899683,0.106029585204266,"extinction ptsd",-0.07
"57","acquisition","healthy",-0.06,-0.0316950810233997,0.0444713128652943,Inf,-0.118857252584589,0.0554670905377899,"acquisition healthy",-0.06
