effect,subject,encode_phase,condition,source_memory,0,1,2,3,4,5,6
Condition,3,extinction,CS+,baseline,128.23994827270508,139.79587968190512,130.16654841105142,42.16936238606771,76.71584065755208,89.84898376464844,277.58143615722656
Condition,3,extinction,CS+,extinction,151.17056020100912,217.25521596272787,106.3295218149821,113.72666931152344,112.60308063030243,89.36349487304688,218.10807037353516
Condition,3,extinction,CS-,acquisition,164.2316436767578,246.21731567382812,131.41720549265543,162.7087834676107,82.67338116963704,102.1544418334961,155.33498891194662
Condition,3,extinction,CS-,baseline,146.72423775990805,285.4215342203776,126.60984675089519,131.88336944580078,81.34179496765137,87.9049841562907,213.64236958821616
Condition,3,extinction,CS-,extinction,137.6513875325521,260.5872294108073,122.62668800354004,125.59046936035156,208.66185506184897,111.43887074788411,207.95557149251303
Condition,4,acquisition,CS+,acquisition,21.64986292521159,64.46571858723958,85.60562642415364,167.59721883138022,-36.363209088643394,-49.96592775980631,24.70077069600423
Condition,4,acquisition,CS+,baseline,10.48983383178711,24.943204879760742,54.465056737264,140.72902170817056,-43.11547342936198,-69.57318305969238,18.59271240234375
Condition,4,acquisition,CS+,extinction,9.978174050649008,50.84330495198568,46.221841176350914,149.4309514363607,-38.59521770477295,-82.80420430501302,28.465098698933918
Condition,4,acquisition,CS-,acquisition,0.6180528004964193,39.99176470438639,90.28994242350261,151.9487101236979,-8.21031920115153,-21.66604487101237,18.907514890034992
Condition,4,acquisition,CS-,baseline,-5.089940786361694,43.795013427734375,63.456098556518555,145.78789265950522,-86.53156741460164,-43.79332876205444,11.090210994084677
Condition,4,acquisition,CS-,extinction,-9.720827102661133,5.324235757191976,58.053382873535156,97.54814910888672,-39.66348457336426,-62.27234649658203,3.6279613375663757
Condition,4,baseline,CS+,acquisition,66.66190338134766,74.3860715230306,110.97568766276042,166.0090586344401,31.985572814941406,-42.64577547709147,66.08392715454102
Condition,4,baseline,CS+,baseline,0.5924275716145834,24.8889586130778,57.78549448649088,166.76372782389322,-35.82210922241211,-52.52450752258301,7.967549959818522
Condition,4,baseline,CS+,extinction,9.713235855102539,37.906951268514,53.97596995035807,194.65405782063803,-73.71595509847005,-51.711631774902344,21.11934693654378
Condition,4,baseline,CS-,acquisition,13.481077988942465,37.638553619384766,80.60564931233723,153.00677998860678,-21.90369987487793,-42.39855448404948,26.769916534423828
Condition,4,baseline,CS-,baseline,2.3737311363220215,21.851401646931965,55.62057240804037,105.63229370117188,-91.00887940327327,-64.4322115580241,-5.018950859705607
Condition,4,baseline,CS-,extinction,8.497678279876709,7.2169545491536455,44.985510190327965,116.44746398925781,-81.56931209564209,-51.27598317464193,14.58252223332723
Condition,4,extinction,CS+,acquisition,11.857469240824381,43.43737920125326,64.63584264119466,170.7662353515625,-26.608346303304035,-65.12635930379231,8.64174779256185
Condition,4,extinction,CS+,baseline,-16.78653907775879,18.684967041015625,66.53468259175618,162.71078745524088,-104.95836385091145,-60.77551523844401,-17.525171915690105
Condition,4,extinction,CS+,extinction,4.507159471511841,38.86000315348307,59.515737533569336,201.74346923828125,-36.32454381386439,-37.992518742879234,19.55369170506795
Condition,4,extinction,CS-,acquisition,-2.0439058939615884,32.99067052205404,71.37941996256511,98.65691630045573,-73.48746045430501,-70.3398831685384,11.78984260559082
Condition,4,extinction,CS-,baseline,-10.010425249735514,35.5423477490743,87.19344838460286,123.88321940104167,-11.075031280517578,-58.94052378336588,15.271926482518515
Condition,4,extinction,CS-,extinction,4.473437945048015,34.70049659411112,86.80405553181966,121.78891245524089,-54.27547073364258,-39.49688275655111,7.955964883168538
Condition,5,acquisition,CS+,acquisition,68.44439697265625,120.61515680948894,111.39807383219402,84.19993845621745,30.987093925476074,41.67453829447428,98.90893046061198
Condition,5,acquisition,CS+,baseline,141.37951278686523,95.82487106323242,122.60310363769531,111.19317245483398,51.12212657928467,63.60045051574707,63.76376008987427
Condition,5,acquisition,CS+,extinction,292.8411560058594,239.38668823242188,368.3155822753906,226.23374938964844,230.37091064453125,85.90033721923828,493.5729064941406
