subject,encode_phase,condition,source_memory,run,roi,pe
2,extinction,CSp,acquisition,memory_run-02,thl,-39.113262
2,extinction,CSp,acquisition,memory_run-02,lOFC,47.006886
2,extinction,CSp,acquisition,memory_run-02,rsp,12.028832
2,extinction,CSp,acquisition,memory_run-03,dACC,77.09099
2,extinction,CSp,acquisition,memory_run-03,thl,-32.643486
2,extinction,CSp,acquisition,memory_run-03,lOFC,22.96689
2,extinction,CSp,acquisition,memory_run-03,rsp,54.42253
2,extinction,CSp,extinction,memory_run-01,dACC,56.88853
2,extinction,CSp,extinction,memory_run-01,thl,-26.646246
2,extinction,CSp,extinction,memory_run-01,lOFC,-186.62476
2,extinction,CSp,extinction,memory_run-01,rsp,-64.27164
2,extinction,CSp,extinction,memory_run-02,dACC,-110.11263
2,extinction,CSp,extinction,memory_run-02,thl,-83.58374
2,extinction,CSp,extinction,memory_run-02,lOFC,-11.414701
2,extinction,CSp,extinction,memory_run-02,rsp,-76.74636
2,extinction,CSp,extinction,memory_run-03,dACC,16.069914
2,extinction,CSp,extinction,memory_run-03,thl,11.369165
2,extinction,CSp,extinction,memory_run-03,lOFC,47.96398
2,extinction,CSp,extinction,memory_run-03,rsp,55.745285
2,extinction,CSm,baseline,memory_run-01,dACC,91.4611
2,extinction,CSm,baseline,memory_run-01,thl,-27.955717
2,extinction,CSm,baseline,memory_run-01,lOFC,-80.452805
2,extinction,CSm,baseline,memory_run-01,rsp,-78.81309499999998
2,extinction,CSm,baseline,memory_run-02,dACC,276.04263
2,extinction,CSm,baseline,memory_run-02,thl,13.518857999999998
2,extinction,CSm,baseline,memory_run-02,lOFC,83.078445
2,extinction,CSm,baseline,memory_run-02,rsp,-35.971443
2,extinction,CSm,baseline,memory_run-03,dACC,158.44637
2,extinction,CSm,baseline,memory_run-03,thl,16.711761
2,extinction,CSm,baseline,memory_run-03,lOFC,20.806969
2,extinction,CSm,baseline,memory_run-03,rsp,21.529467
2,extinction,CSm,acquisition,memory_run-01,dACC,142.37868
2,extinction,CSm,acquisition,memory_run-01,thl,-120.72216
2,extinction,CSm,acquisition,memory_run-01,lOFC,16.410042
2,extinction,CSm,acquisition,memory_run-01,rsp,-119.93618
2,extinction,CSm,acquisition,memory_run-02,dACC,34.443752
2,extinction,CSm,acquisition,memory_run-02,thl,77.74425
2,extinction,CSm,acquisition,memory_run-02,lOFC,117.057945
2,extinction,CSm,acquisition,memory_run-02,rsp,89.55566999999998
2,extinction,CSm,acquisition,memory_run-03,dACC,-18.419
2,extinction,CSm,acquisition,memory_run-03,thl,-125.84944
2,extinction,CSm,acquisition,memory_run-03,lOFC,-116.370804
2,extinction,CSm,acquisition,memory_run-03,rsp,-48.688747
2,extinction,CSm,extinction,memory_run-01,dACC,8.079397
2,extinction,CSm,extinction,memory_run-01,thl,62.446507
2,extinction,CSm,extinction,memory_run-01,lOFC,-53.45885500000001
2,extinction,CSm,extinction,memory_run-01,rsp,56.6056
2,extinction,CSm,extinction,memory_run-02,dACC,-6.0431027
2,extinction,CSm,extinction,memory_run-02,thl,14.95597
2,extinction,CSm,extinction,memory_run-02,lOFC,-116.407715
2,extinction,CSm,extinction,memory_run-02,rsp,-63.40167
2,extinction,CSm,extinction,memory_run-03,dACC,-66.88435
2,extinction,CSm,extinction,memory_run-03,thl,-15.5817375
2,extinction,CSm,extinction,memory_run-03,lOFC,-120.59728
2,extinction,CSm,extinction,memory_run-03,rsp,-10.019007
3,baseline,CSp,baseline,memory_run-01,dACC,202.51476
3,baseline,CSp,baseline,memory_run-01,thl,99.091034
3,baseline,CSp,baseline,memory_run-01,lOFC,10.831867
3,baseline,CSp,baseline,memory_run-01,rsp,-47.47073
3,baseline,CSp,baseline,memory_run-02,dACC,199.7962
3,baseline,CSp,baseline,memory_run-02,thl,256.6029
3,baseline,CSp,baseline,memory_run-02,lOFC,-63.675446
3,baseline,CSp,baseline,memory_run-02,rsp,-114.65739
3,baseline,CSp,baseline,memory_run-03,dACC,82.39789
3,baseline,CSp,baseline,memory_run-03,thl,-109.700554
3,baseline,CSp,baseline,memory_run-03,lOFC,-13.138976
3,baseline,CSp,baseline,memory_run-03,rsp,22.620052
3,baseline,CSp,acquisition,memory_run-01,dACC,411.28723
3,baseline,CSp,acquisition,memory_run-01,thl,114.19384
3,baseline,CSp,acquisition,memory_run-01,lOFC,-15.420091
3,baseline,CSp,acquisition,memory_run-01,rsp,-21.171404000000006
3,baseline,CSp,acquisition,memory_run-02,dACC,339.0490700000001
3,baseline,CSp,acquisition,memory_run-02,thl,70.70433
3,baseline,CSp,acquisition,memory_run-02,lOFC,34.354233
3,baseline,CSp,acquisition,memory_run-02,rsp,43.95717
3,baseline,CSp,acquisition,memory_run-03,dACC,119.21388
3,baseline,CSp,acquisition,memory_run-03,thl,19.800327
3,baseline,CSp,acquisition,memory_run-03,lOFC,-79.09131
3,baseline,CSp,acquisition,memory_run-03,rsp,-60.088097
3,baseline,CSp,extinction,memory_run-01,dACC,230.62363
3,baseline,CSp,extinction,memory_run-01,thl,43.23218
3,baseline,CSp,extinction,memory_run-01,lOFC,-4.925235
3,baseline,CSp,extinction,memory_run-01,rsp,-39.56254000000001
3,baseline,CSp,extinction,memory_run-02,dACC,225.52109
3,baseline,CSp,extinction,memory_run-02,thl,-110.222115
3,baseline,CSp,extinction,memory_run-02,lOFC,260.92157000000003
3,baseline,CSp,extinction,memory_run-02,rsp,-55.00692700000001
3,baseline,CSp,extinction,memory_run-03,dACC,61.75153
3,baseline,CSp,extinction,memory_run-03,thl,-109.12884
3,baseline,CSp,extinction,memory_run-03,lOFC,-83.484344
3,baseline,CSp,extinction,memory_run-03,rsp,113.637535
3,baseline,CSm,baseline,memory_run-01,dACC,115.1313
3,baseline,CSm,baseline,memory_run-01,thl,-7.2562547
3,baseline,CSm,baseline,memory_run-01,lOFC,14.61264
3,baseline,CSm,baseline,memory_run-01,rsp,-98.02277
3,baseline,CSm,baseline,memory_run-02,dACC,149.04227
3,baseline,CSm,baseline,memory_run-02,thl,-63.096825
3,baseline,CSm,baseline,memory_run-02,lOFC,39.79506
3,baseline,CSm,baseline,memory_run-02,rsp,-109.63389
3,baseline,CSm,baseline,memory_run-03,dACC,108.67855
3,baseline,CSm,baseline,memory_run-03,thl,22.054008
3,baseline,CSm,baseline,memory_run-03,lOFC,-88.30963
3,baseline,CSm,baseline,memory_run-03,rsp,129.3503
3,baseline,CSm,acquisition,memory_run-01,dACC,178.68745
3,baseline,CSm,acquisition,memory_run-01,thl,118.02737
3,baseline,CSm,acquisition,memory_run-01,lOFC,-0.32612386
3,baseline,CSm,acquisition,memory_run-01,rsp,19.635992
3,baseline,CSm,acquisition,memory_run-02,dACC,306.02823
3,baseline,CSm,acquisition,memory_run-02,thl,-1.9253684
3,baseline,CSm,acquisition,memory_run-02,lOFC,150.6041
3,baseline,CSm,acquisition,memory_run-02,rsp,-68.06002
3,baseline,CSm,acquisition,memory_run-03,dACC,117.86273
3,baseline,CSm,acquisition,memory_run-03,thl,-180.66261
3,baseline,CSm,acquisition,memory_run-03,lOFC,15.190138
3,baseline,CSm,acquisition,memory_run-03,rsp,-53.287994
3,baseline,CSm,extinction,memory_run-02,dACC,351.23593
3,baseline,CSm,extinction,memory_run-02,thl,82.64596
3,baseline,CSm,extinction,memory_run-02,lOFC,58.74637
3,baseline,CSm,extinction,memory_run-02,rsp,-0.0688342
3,baseline,CSm,extinction,memory_run-03,dACC,140.62771999999998
3,baseline,CSm,extinction,memory_run-03,thl,-9.717566
3,baseline,CSm,extinction,memory_run-03,lOFC,-188.84097
3,baseline,CSm,extinction,memory_run-03,rsp,7.0180316
3,acquisition,CSp,baseline,memory_run-01,dACC,220.15892
3,acquisition,CSp,baseline,memory_run-01,thl,84.36069
3,acquisition,CSp,baseline,memory_run-01,lOFC,-27.479485
3,acquisition,CSp,baseline,memory_run-01,rsp,-23.665455
3,acquisition,CSp,baseline,memory_run-03,dACC,-8.528176
3,acquisition,CSp,baseline,memory_run-03,thl,-243.77686
3,acquisition,CSp,baseline,memory_run-03,lOFC,-25.737097
3,acquisition,CSp,baseline,memory_run-03,rsp,-24.433195
