subject,encode_phase,condition,source_memory,run,roi,pe
5,baseline,CSm,baseline,memory_run-03,cuneus,63.878997999999996
5,baseline,CSm,acquisition,memory_run-01,cuneus,43.250652
5,baseline,CSm,acquisition,memory_run-02,cuneus,-60.092712
5,baseline,CSm,acquisition,memory_run-03,cuneus,-40.66867
5,baseline,CSm,extinction,memory_run-01,cuneus,71.85901
5,baseline,CSm,extinction,memory_run-02,cuneus,-16.29971
5,baseline,CSm,extinction,memory_run-03,cuneus,16.660643
5,acquisition,CSp,baseline,memory_run-02,cuneus,-7.069209
5,acquisition,CSp,baseline,memory_run-03,cuneus,-11.6579485
5,acquisition,CSp,acquisition,memory_run-01,cuneus,58.939255
5,acquisition,CSp,acquisition,memory_run-02,cuneus,10.081836000000001
5,acquisition,CSp,acquisition,memory_run-03,cuneus,51.000313
5,acquisition,CSp,extinction,memory_run-02,cuneus,121.68048
5,acquisition,CSm,baseline,memory_run-02,cuneus,-32.732376
5,acquisition,CSm,acquisition,memory_run-01,cuneus,47.096474
5,acquisition,CSm,acquisition,memory_run-02,cuneus,46.79283
5,acquisition,CSm,acquisition,memory_run-03,cuneus,-1.057476
5,acquisition,CSm,extinction,memory_run-01,cuneus,55.453255000000006
5,acquisition,CSm,extinction,memory_run-02,cuneus,-34.280429999999996
5,acquisition,CSm,extinction,memory_run-03,cuneus,41.89852
5,extinction,CSp,baseline,memory_run-01,cuneus,-8.1087265
5,extinction,CSp,acquisition,memory_run-01,cuneus,47.505413
5,extinction,CSp,acquisition,memory_run-02,cuneus,56.62066
5,extinction,CSp,acquisition,memory_run-03,cuneus,84.51177
5,extinction,CSp,extinction,memory_run-01,cuneus,48.7653
5,extinction,CSp,extinction,memory_run-02,cuneus,37.04983
5,extinction,CSp,extinction,memory_run-03,cuneus,6.051311
5,extinction,CSm,baseline,memory_run-01,cuneus,72.213844
5,extinction,CSm,baseline,memory_run-03,cuneus,29.324438
5,extinction,CSm,acquisition,memory_run-01,cuneus,86.997665
5,extinction,CSm,acquisition,memory_run-02,cuneus,94.80851
5,extinction,CSm,acquisition,memory_run-03,cuneus,18.037654999999997
5,extinction,CSm,extinction,memory_run-01,cuneus,37.377373
5,extinction,CSm,extinction,memory_run-02,cuneus,21.584354
5,extinction,CSm,extinction,memory_run-03,cuneus,4.6979156
6,baseline,CSp,baseline,memory_run-01,cuneus,-68.49968
6,baseline,CSp,baseline,memory_run-02,cuneus,31.832844
6,baseline,CSp,baseline,memory_run-03,cuneus,139.96258999999998
6,baseline,CSp,acquisition,memory_run-01,cuneus,-30.092370000000003
6,baseline,CSp,acquisition,memory_run-02,cuneus,19.551748
6,baseline,CSp,acquisition,memory_run-03,cuneus,124.265175
6,baseline,CSp,extinction,memory_run-01,cuneus,-85.90398
6,baseline,CSp,extinction,memory_run-02,cuneus,115.40308
6,baseline,CSp,extinction,memory_run-03,cuneus,-16.121475
6,baseline,CSm,baseline,memory_run-01,cuneus,14.218848999999999
6,baseline,CSm,baseline,memory_run-02,cuneus,71.92090999999999
6,baseline,CSm,baseline,memory_run-03,cuneus,55.827766000000004
6,baseline,CSm,acquisition,memory_run-01,cuneus,53.897994999999995
6,baseline,CSm,acquisition,memory_run-02,cuneus,42.235896999999994
6,baseline,CSm,acquisition,memory_run-03,cuneus,-71.08583
6,baseline,CSm,extinction,memory_run-01,cuneus,45.315678000000005
6,baseline,CSm,extinction,memory_run-02,cuneus,-4.0317073
6,baseline,CSm,extinction,memory_run-03,cuneus,90.12389
6,acquisition,CSp,baseline,memory_run-01,cuneus,20.263235
6,acquisition,CSp,baseline,memory_run-02,cuneus,137.03748000000002
6,acquisition,CSp,acquisition,memory_run-01,cuneus,-65.925255
6,acquisition,CSp,acquisition,memory_run-02,cuneus,104.9658
6,acquisition,CSp,acquisition,memory_run-03,cuneus,100.095314
6,acquisition,CSp,extinction,memory_run-02,cuneus,52.885597
6,acquisition,CSp,extinction,memory_run-03,cuneus,87.88682
6,acquisition,CSm,baseline,memory_run-01,cuneus,-26.811867
6,acquisition,CSm,baseline,memory_run-02,cuneus,34.27963
6,acquisition,CSm,baseline,memory_run-03,cuneus,170.68073
6,acquisition,CSm,acquisition,memory_run-03,cuneus,-25.486864
6,acquisition,CSm,extinction,memory_run-01,cuneus,11.682211
6,acquisition,CSm,extinction,memory_run-02,cuneus,63.647903
6,acquisition,CSm,extinction,memory_run-03,cuneus,126.37825
6,extinction,CSp,baseline,memory_run-01,cuneus,21.639345000000002
6,extinction,CSp,baseline,memory_run-02,cuneus,82.41256
6,extinction,CSp,baseline,memory_run-03,cuneus,78.95674
6,extinction,CSp,acquisition,memory_run-01,cuneus,-32.390903
6,extinction,CSp,acquisition,memory_run-02,cuneus,105.768524
6,extinction,CSp,acquisition,memory_run-03,cuneus,43.46822
6,extinction,CSp,extinction,memory_run-01,cuneus,10.41992
6,extinction,CSp,extinction,memory_run-02,cuneus,18.906315
6,extinction,CSm,baseline,memory_run-01,cuneus,14.3085
6,extinction,CSm,baseline,memory_run-02,cuneus,43.393703
6,extinction,CSm,acquisition,memory_run-02,cuneus,160.32881
6,extinction,CSm,acquisition,memory_run-03,cuneus,42.525406
6,extinction,CSm,extinction,memory_run-01,cuneus,40.924393
6,extinction,CSm,extinction,memory_run-02,cuneus,13.106496
6,extinction,CSm,extinction,memory_run-03,cuneus,36.98635
7,baseline,CSp,baseline,memory_run-01,cuneus,46.39861
7,baseline,CSp,baseline,memory_run-02,cuneus,48.04947
7,baseline,CSp,baseline,memory_run-03,cuneus,90.6289
7,baseline,CSp,acquisition,memory_run-01,cuneus,37.59163
7,baseline,CSp,acquisition,memory_run-02,cuneus,56.30523
7,baseline,CSp,extinction,memory_run-01,cuneus,18.011915
7,baseline,CSp,extinction,memory_run-02,cuneus,46.175007
7,baseline,CSp,extinction,memory_run-03,cuneus,60.141093999999995
7,baseline,CSm,baseline,memory_run-02,cuneus,40.647667
7,baseline,CSm,baseline,memory_run-03,cuneus,64.93003
7,baseline,CSm,acquisition,memory_run-01,cuneus,70.57815
7,baseline,CSm,acquisition,memory_run-03,cuneus,124.15998
7,baseline,CSm,extinction,memory_run-01,cuneus,121.397995
7,baseline,CSm,extinction,memory_run-02,cuneus,171.27127
7,baseline,CSm,extinction,memory_run-03,cuneus,128.42172
7,acquisition,CSp,baseline,memory_run-02,cuneus,39.097435
7,acquisition,CSp,baseline,memory_run-03,cuneus,295.95862
7,acquisition,CSp,acquisition,memory_run-01,cuneus,66.39041
7,acquisition,CSp,acquisition,memory_run-02,cuneus,119.3357
7,acquisition,CSp,acquisition,memory_run-03,cuneus,103.39869
7,acquisition,CSp,extinction,memory_run-01,cuneus,91.52543
7,acquisition,CSp,extinction,memory_run-02,cuneus,171.78083999999998
7,acquisition,CSp,extinction,memory_run-03,cuneus,137.23303
7,acquisition,CSm,baseline,memory_run-01,cuneus,87.22269
7,acquisition,CSm,baseline,memory_run-02,cuneus,106.74662
7,acquisition,CSm,baseline,memory_run-03,cuneus,273.58646
7,acquisition,CSm,acquisition,memory_run-01,cuneus,127.0233
7,acquisition,CSm,acquisition,memory_run-02,cuneus,172.16496
7,acquisition,CSm,acquisition,memory_run-03,cuneus,116.81473000000001
7,acquisition,CSm,extinction,memory_run-01,cuneus,174.9806
7,acquisition,CSm,extinction,memory_run-03,cuneus,12.542012
7,extinction,CSp,baseline,memory_run-01,cuneus,124.83993999999998
7,extinction,CSp,baseline,memory_run-02,cuneus,87.85941
7,extinction,CSp,baseline,memory_run-03,cuneus,83.21316999999999
7,extinction,CSp,acquisition,memory_run-01,cuneus,87.02266
7,extinction,CSp,acquisition,memory_run-02,cuneus,168.54564
7,extinction,CSp,acquisition,memory_run-03,cuneus,130.2174
7,extinction,CSp,extinction,memory_run-01,cuneus,-61.84158000000001
7,extinction,CSp,extinction,memory_run-02,cuneus,54.658516000000006
7,extinction,CSp,extinction,memory_run-03,cuneus,81.4933
7,extinction,CSm,baseline,memory_run-01,cuneus,91.30003
7,extinction,CSm,baseline,memory_run-02,cuneus,81.388855
7,extinction,CSm,baseline,memory_run-03,cuneus,92.703476
7,extinction,CSm,acquisition,memory_run-01,cuneus,215.9677
7,extinction,CSm,acquisition,memory_run-03,cuneus,76.3349
