subject,encode_phase,condition,source_memory,run,effect,pe
2,baseline,CSm,acquisition,1,Condition,"[116.41780090332031 156.08033752441406 160.16416931152344
 94.99895477294922 84.15373992919922 90.46897888183594 259.0043029785156]"
2,baseline,CSm,acquisition,1,Condition_Response,[-1.5411567687988281]
2,baseline,CSm,acquisition,2,Response,[84.07421112060547 93.79090881347656 -11.083995819091797 128.2096405029297]
2,baseline,CSm,acquisition,2,Condition,"[14.697497367858887 -78.57759094238281 212.4279327392578 91.29991912841797
 8.3445463180542 112.85223388671875 146.5910186767578]"
2,baseline,CSm,acquisition,2,Condition_Response,[17.57480239868164]
2,baseline,CSm,acquisition,3,Response,"[30.740243911743164 59.1740837097168 -17.999807357788086
 -6.638719081878662]"
2,baseline,CSm,acquisition,3,Condition,"[212.46188354492188 144.6416778564453 248.1011199951172 87.48372650146484
 29.566722869873047 104.8134994506836 155.30328369140625]"
2,baseline,CSm,acquisition,3,Condition_Response,[28.845394134521484]
2,baseline,CSm,extinction,1,Response,"[-75.90709686279297 -9.559647560119629 -120.5749282836914
 -163.76174926757812]"
2,baseline,CSm,extinction,1,Condition,"[56.3154182434082 -36.68724060058594 178.07614135742188 83.18949890136719
 44.97707748413086 85.39688110351562 -22.955413818359375]"
2,baseline,CSm,extinction,1,Condition_Response,[-46.11952209472656]
2,baseline,CSm,extinction,2,Response,"[-4.243930816650391 -29.931087493896484 13.9171142578125
 120.63113403320312]"
2,baseline,CSm,extinction,2,Condition,"[227.36776733398438 101.37409973144531 311.5536193847656 123.8890151977539
 63.001487731933594 131.71873474121094 74.38874816894531]"
2,baseline,CSm,extinction,2,Condition_Response,[14.105217933654785]
2,baseline,CSm,extinction,3,Response,"[-46.24406814575195 10.227920532226562 131.43032836914062
 16.495643615722656]"
2,baseline,CSm,extinction,3,Condition,"[134.12149047851562 101.21443176269531 173.81910705566406
 84.52352142333984 135.86912536621094 75.45958709716797 136.15550231933594]"
2,baseline,CSm,extinction,3,Condition_Response,[-2.951617479324341]
2,acquisition,CSp,baseline,1,Response,"[-67.20561218261719 -127.99921417236328 -71.8201675415039
 -21.689476013183594]"
2,acquisition,CSp,baseline,1,Condition,"[144.34104919433594 63.45563507080078 337.4873352050781 118.08904266357422
 95.9231185913086 120.93067169189453 92.49585723876953]"
2,acquisition,CSp,baseline,1,Condition_Response,[6.523332595825195]
2,acquisition,CSp,baseline,2,Response,"[-36.1440315246582 -17.817066192626953 63.251277923583984
 194.23541259765625]"
2,acquisition,CSp,baseline,2,Condition,"[218.84799194335938 284.4966735839844 328.6993103027344 165.7487335205078
 198.97760009765625 172.08740234375 361.4473571777344]"
2,acquisition,CSp,baseline,2,Condition_Response,[-22.215091705322266]
