roi,encode_phase,memory_phase,subject,rsa,group
dACC,baseline,retrieval,12,-0.16943532355770485,control
dACC,baseline,retrieval,13,0.16947044133673508,control
dACC,baseline,retrieval,14,-0.16988881570570463,control
dACC,baseline,retrieval,15,0.07494796280258631,control
dACC,baseline,retrieval,16,-0.04983590468076121,control
dACC,baseline,retrieval,17,-0.007972198520735885,control
dACC,baseline,retrieval,18,0.024328669261896044,control
dACC,baseline,retrieval,19,0.03659205357601991,control
dACC,baseline,retrieval,20,0.057412636895700093,control
dACC,baseline,retrieval,21,0.08560557764901644,control
dACC,baseline,retrieval,23,-0.05476925231532431,control
dACC,baseline,retrieval,24,-0.15154663985393377,control
dACC,baseline,retrieval,25,-0.0009550997733192984,control
dACC,baseline,retrieval,26,-0.07031514819237977,control
dACC,early_extinction,encoding,1,0.6823882386766965,control
dACC,early_extinction,encoding,2,0.6423515365444675,control
dACC,early_extinction,encoding,3,0.089108262113651,control
dACC,early_extinction,encoding,4,0.10546637534912254,control
dACC,early_extinction,encoding,5,0.5314813876952884,control
dACC,early_extinction,encoding,6,0.06382347653117076,control
dACC,early_extinction,encoding,7,0.13834109803570327,control
dACC,early_extinction,encoding,8,0.922072479406117,control
dACC,early_extinction,encoding,9,0.038929825486621605,control
dACC,early_extinction,encoding,10,0.16154579022806953,control
dACC,early_extinction,encoding,12,0.189502877946595,control
dACC,early_extinction,encoding,13,0.46051413464580077,control
dACC,early_extinction,encoding,14,0.026758189052440273,control
dACC,early_extinction,encoding,15,0.111924251022191,control
dACC,early_extinction,encoding,16,0.7402843815762744,control
dACC,early_extinction,encoding,17,0.28834463296439616,control
dACC,early_extinction,encoding,18,0.01915373159502022,control
dACC,early_extinction,encoding,19,-0.03372648749557566,control
dACC,early_extinction,encoding,20,-0.06357658163591337,control
dACC,early_extinction,encoding,21,-0.23258678811192582,control
dACC,early_extinction,encoding,23,0.1604511399802363,control
dACC,early_extinction,encoding,24,0.4179891457470405,control
dACC,early_extinction,encoding,25,-0.47491630527531914,control
dACC,early_extinction,encoding,26,0.255739660024355,control
dACC,early_extinction,retrieval,1,-0.19800053703373255,control
dACC,early_extinction,retrieval,2,-0.11305493951965134,control
dACC,early_extinction,retrieval,3,-0.15207368226634096,control
dACC,early_extinction,retrieval,4,0.0913641731430142,control
dACC,early_extinction,retrieval,5,-0.1551122804323416,control
dACC,early_extinction,retrieval,6,0.00022258137472154493,control
dACC,early_extinction,retrieval,7,0.031659590570044235,control
dACC,early_extinction,retrieval,8,-0.10664265485437474,control
dACC,early_extinction,retrieval,9,0.05122503596362524,control
dACC,early_extinction,retrieval,10,0.6234645786384218,control
dACC,early_extinction,retrieval,12,-0.473222221603929,control
dACC,early_extinction,retrieval,13,0.4256851266872155,control
dACC,early_extinction,retrieval,14,0.1058682455516976,control
dACC,early_extinction,retrieval,15,-0.26769850984146604,control
dACC,early_extinction,retrieval,16,0.028489915731974125,control
dACC,early_extinction,retrieval,17,0.33558552047754225,control
dACC,early_extinction,retrieval,18,0.11147402590802291,control
dACC,early_extinction,retrieval,19,-0.2163345776120409,control
dACC,early_extinction,retrieval,20,0.3057918659669683,control
dACC,early_extinction,retrieval,21,-0.20053528323004294,control
dACC,early_extinction,retrieval,23,-0.4033930108165858,control
dACC,early_extinction,retrieval,24,-0.1151465128740716,control
dACC,early_extinction,retrieval,25,-0.02202647119392685,control
dACC,early_extinction,retrieval,26,-0.1510097528029327,control
dACC,extinction,encoding,1,0.2105800303766121,control
dACC,extinction,encoding,2,0.2853877197405774,control
dACC,extinction,encoding,3,-0.0629491136857466,control
dACC,extinction,encoding,4,0.024009327477997028,control
dACC,extinction,encoding,5,0.3423338580552935,control
dACC,extinction,encoding,6,0.041673857734151304,control
dACC,extinction,encoding,7,-0.2580294914861788,control
dACC,extinction,encoding,8,0.2657963090759969,control
dACC,extinction,encoding,9,-0.17907459788646146,control
dACC,extinction,encoding,10,-0.21109836364879392,control
dACC,extinction,encoding,12,-0.3787523518921315,control
dACC,extinction,encoding,13,-0.042359286284314734,control
dACC,extinction,encoding,14,0.05656713339007066,control
dACC,extinction,encoding,15,-0.0032643333854117107,control
dACC,extinction,encoding,16,0.3825873555361392,control
dACC,extinction,encoding,17,-0.17630435423346266,control
dACC,extinction,encoding,18,0.00851144564216233,control
dACC,extinction,encoding,19,-0.14158407622037616,control
dACC,extinction,encoding,20,-0.0902689049458083,control
dACC,extinction,encoding,21,0.13746875572758463,control
dACC,extinction,encoding,23,-0.014003158305125718,control
dACC,extinction,encoding,24,0.12789663455894945,control
dACC,extinction,encoding,25,0.23080066126682103,control
dACC,extinction,encoding,26,-0.18033163882467762,control
dACC,extinction,retrieval,1,0.135052431780397,control
dACC,extinction,retrieval,2,-0.14995078614821872,control
dACC,extinction,retrieval,3,-0.03698338040983237,control
dACC,extinction,retrieval,4,-0.1173964531924272,control
dACC,extinction,retrieval,5,-0.02014978030912712,control
dACC,extinction,retrieval,6,0.00022145493231948143,control
dACC,extinction,retrieval,7,0.013259281089686117,control
dACC,extinction,retrieval,8,-0.016115058464020726,control
dACC,extinction,retrieval,9,-0.004030493087426146,control
dACC,extinction,retrieval,10,0.3780912893288532,control
dACC,extinction,retrieval,12,-0.23283964247878253,control
