roi,encode_phase,level,subject,low_confidence_accuracy,high_confidence_accuracy,CSp_trial,CSm_trial,rsa,group
mOFC,acquisition,item,6,0.5833333333333334,0.7083333333333333,,,-0.18684781311614165,control
mOFC,acquisition,item,7,0.0,0.0,,,-0.0924103268607768,control
mOFC,acquisition,item,8,0.0,0.33333333333333337,,,-0.07766580273179988,control
mOFC,acquisition,item,9,-0.04166666666666663,0.0,,,0.03006152723454296,control
mOFC,acquisition,item,10,0.20833333333333337,0.5833333333333334,,,0.03605886136559183,control
mOFC,acquisition,item,12,0.375,0.41666666666666663,,,-0.137491648768244,control
mOFC,acquisition,item,13,0.08333333333333326,0.0,,,0.2526341944234224,control
mOFC,acquisition,item,14,0.33333333333333326,0.20833333333333334,,,-0.19538070548321382,control
mOFC,acquisition,item,15,0.5833333333333333,0.625,,,0.2403644627219098,control
mOFC,acquisition,item,16,0.29166666666666663,0.33333333333333337,,,0.06352791993242138,control
mOFC,acquisition,item,17,0.08333333333333337,0.25,,,0.1627541817893799,control
mOFC,acquisition,item,18,0.25,0.08333333333333333,,,-0.1907723280426756,control
mOFC,acquisition,item,19,-0.125,-0.04166666666666663,,,0.24978381825508594,control
mOFC,acquisition,item,20,-0.16666666666666674,-0.08333333333333334,,,-0.06359089666551596,control
mOFC,acquisition,item,21,-0.08333333333333326,-0.25,,,0.03086131724459668,control
mOFC,acquisition,item,23,-0.25,-0.2916666666666667,,,0.0843564059076634,control
mOFC,acquisition,item,24,0.5416666666666667,0.5833333333333334,,,0.28600120706037924,control
mOFC,acquisition,item,25,0.29166666666666663,0.20833333333333337,,,-0.20622651545409568,control
mOFC,acquisition,item,26,0.16666666666666663,0.25,,,0.0010968177451611272,control
mOFC,acquisition,set,1,,,,,0.059025596759988766,control
mOFC,acquisition,set,2,,,,,0.1291629379048413,control
mOFC,acquisition,set,3,,,,,0.012284272877525912,control
mOFC,acquisition,set,4,,,,,-0.013519372373696714,control
mOFC,acquisition,set,5,,,,,0.1244874151789074,control
mOFC,acquisition,set,6,,,,,-0.06856468346591318,control
mOFC,acquisition,set,7,,,,,0.08209209171381335,control
mOFC,acquisition,set,8,,,,,-0.058368601064652414,control
mOFC,acquisition,set,9,,,,,0.028812664847417416,control
mOFC,acquisition,set,10,,,,,0.08786827222978105,control
mOFC,acquisition,set,12,,,,,-0.040764418248719236,control
mOFC,acquisition,set,13,,,,,0.16929640713416885,control
mOFC,acquisition,set,14,,,,,-0.186926131577326,control
mOFC,acquisition,set,15,,,,,0.2817818715445159,control
mOFC,acquisition,set,16,,,,,0.12038330366945077,control
mOFC,acquisition,set,17,,,,,0.15409779989187564,control
mOFC,acquisition,set,18,,,,,-0.14242765041318473,control
mOFC,acquisition,set,19,,,,,0.3150768499936697,control
mOFC,acquisition,set,20,,,,,0.12589362586333713,control
mOFC,acquisition,set,21,,,,,0.08690435771162604,control
mOFC,acquisition,set,23,,,,,0.04836758037670912,control
mOFC,acquisition,set,24,,,,,0.16625401089225694,control
mOFC,acquisition,set,25,,,,,-0.04121736423516179,control
mOFC,acquisition,set,26,,,,,0.05691959097733662,control
mOFC,early_extinction,item,1,0.0,0.0,,,-0.021082310382525976,control
mOFC,early_extinction,item,2,0.5,0.5,,,0.02447121124337255,control
mOFC,early_extinction,item,3,0.5,0.5,,,-0.4436255329795408,control
mOFC,early_extinction,item,4,0.25,0.25,,,0.36945956216479503,control
mOFC,early_extinction,item,5,0.0,0.0,,,0.2703999097036725,control
mOFC,early_extinction,item,6,0.25,0.5,,,0.20579072798418796,control
mOFC,early_extinction,item,7,0.5,0.25,,,0.20687736891751315,control
mOFC,early_extinction,item,8,0.5,0.25,,,-0.04361103831090607,control
mOFC,early_extinction,item,9,0.0,0.0,,,-0.14019496615365531,control
mOFC,early_extinction,item,10,0.5,0.5,,,0.02875377716662908,control
mOFC,early_extinction,item,12,0.25,-0.25,,,0.34938362177635063,control
mOFC,early_extinction,item,13,-0.25,0.0,,,0.24533468928143767,control
mOFC,early_extinction,item,14,-0.25,-0.5,,,0.16508185106521123,control
mOFC,early_extinction,item,15,0.75,0.25,,,0.23375843912356076,control
mOFC,early_extinction,item,16,0.0,0.0,,,0.1638926391466929,control
mOFC,early_extinction,item,17,0.0,-0.25,,,0.833470197065137,control
mOFC,early_extinction,item,18,0.5,0.0,,,-0.551258312069731,control
mOFC,early_extinction,item,19,-0.5,-0.25,,,0.10958553626743128,control
mOFC,early_extinction,item,20,-0.25,-0.25,,,-0.5082741981954516,control
mOFC,early_extinction,item,21,0.0,0.0,,,0.19360927841327902,control
mOFC,early_extinction,item,23,-0.25,-0.25,,,0.012363158586855105,control
mOFC,early_extinction,item,24,-0.25,0.0,,,-0.2381090869654504,control
mOFC,early_extinction,item,25,0.25,0.25,,,0.2131952332095985,control
mOFC,early_extinction,item,26,0.0,0.5,,,0.1371529284928248,control
mOFC,early_extinction,set,1,,,,,-0.21128361967720335,control
mOFC,early_extinction,set,2,,,,,0.23523397271764346,control
mOFC,early_extinction,set,3,,,,,-0.21459659801881545,control
mOFC,early_extinction,set,4,,,,,0.40395666162815697,control
mOFC,early_extinction,set,5,,,,,0.021965377290053115,control
mOFC,early_extinction,set,6,,,,,0.13993693371999041,control
mOFC,early_extinction,set,7,,,,,0.12464187166868522,control
mOFC,early_extinction,set,8,,,,,-0.06026135784522983,control
mOFC,early_extinction,set,9,,,,,0.23184154463022494,control
mOFC,early_extinction,set,10,,,,,0.3784330862940626,control
mOFC,early_extinction,set,12,,,,,0.020331153459078075,control
mOFC,early_extinction,set,13,,,,,0.242214012079221,control
mOFC,early_extinction,set,14,,,,,0.3620389889333009,control
mOFC,early_extinction,set,15,,,,,0.40457231827244666,control
mOFC,early_extinction,set,16,,,,,0.3665137402754285,control
mOFC,early_extinction,set,17,,,,,0.20077076080559433,control
mOFC,early_extinction,set,18,,,,,-0.188021670751043,control
mOFC,early_extinction,set,19,,,,,-0.07326068855923107,control
mOFC,early_extinction,set,20,,,,,-0.19432019460341782,control
mOFC,early_extinction,set,21,,,,,-0.06718949738869012,control
mOFC,early_extinction,set,23,,,,,0.1418911582775751,control
mOFC,early_extinction,set,24,,,,,-0.5425971790498418,control
mOFC,early_extinction,set,25,,,,,-0.027731426531532696,control
mOFC,early_extinction,set,26,,,,,0.38754238889657766,control
mOFC,extinction,item,1,0.09999999999999998,0.04999999999999999,,,0.09856809730946764,control
mOFC,extinction,item,2,0.30000000000000004,0.4,,,0.002408463120996511,control
mOFC,extinction,item,3,0.39999999999999997,0.14999999999999997,,,-0.18973166126255434,control
mOFC,extinction,item,4,0.15000000000000002,0.30000000000000004,,,-0.06782447904579689,control
mOFC,extinction,item,5,-0.04999999999999993,-0.050000000000000044,,,0.03439069800454825,control
mOFC,extinction,item,6,0.44999999999999996,0.5,,,0.22271428883523472,control
mOFC,extinction,item,7,0.09999999999999998,0.19999999999999998,,,-0.0056975265741810305,control
mOFC,extinction,item,8,0.09999999999999998,0.3,,,0.12213024518425063,control
mOFC,extinction,item,9,-0.19999999999999996,-0.3,,,0.1423963138278531,control
mOFC,extinction,item,10,0.19999999999999996,0.25,,,0.5151272721094627,control
mOFC,extinction,item,12,0.29999999999999993,0.09999999999999999,,,-0.10146316217215717,control
mOFC,extinction,item,13,-0.14999999999999997,-0.2,,,0.2734720387729489,control
mOFC,extinction,item,14,0.25,0.05,,,0.25876023758078603,control
mOFC,extinction,item,15,0.20000000000000007,0.05000000000000002,,,0.12501593470281758,control
mOFC,extinction,item,16,0.1499999999999999,0.2,,,0.4017567957478355,control
mOFC,extinction,item,17,0.35,0.5499999999999999,,,0.37412820982265027,control
mOFC,extinction,item,18,0.0,0.0,,,0.05344221456567215,control
mOFC,extinction,item,19,-0.050000000000000044,0.0,,,0.24453450288271106,control
mOFC,extinction,item,20,-0.09999999999999998,-0.15,,,0.06369784168423147,control
mOFC,extinction,item,21,-0.20000000000000007,-0.09999999999999998,,,0.006638592519610267,control
mOFC,extinction,item,23,-0.44999999999999996,-0.25,,,0.123879399623258,control
mOFC,extinction,item,24,0.44999999999999996,0.4,,,0.4006272752113267,control
mOFC,extinction,item,25,0.2,0.1,,,0.049369412003178174,control
mOFC,extinction,item,26,0.1499999999999999,0.19999999999999996,,,0.2073955245521013,control
mOFC,extinction,set,1,,,,,0.04347338458322818,control
mOFC,extinction,set,2,,,,,-0.06028766051668595,control
mOFC,extinction,set,3,,,,,-0.07284576929237281,control
mOFC,extinction,set,4,,,,,-0.10296445899368369,control
mOFC,extinction,set,5,,,,,-0.05123280797159308,control
mOFC,extinction,set,6,,,,,0.10986256908126721,control
mOFC,extinction,set,7,,,,,-0.040093631913144266,control
mOFC,extinction,set,8,,,,,0.0705017331450527,control
mOFC,extinction,set,9,,,,,0.08197667653878528,control
mOFC,extinction,set,10,,,,,0.5908634036923193,control
mOFC,extinction,set,12,,,,,-0.021045220758473877,control
