w,p,cles,p_fdr,p_mask,cles_disp
167.0,0.19301863121171098,0.5349716446124764,0.8729736199186795,0,0.0
135.0,0.5423882647206261,0.5066162570888468,0.8729736199186795,0,0.0
122.0,0.6921123298473626,0.4952741020793951,0.8729736199186795,0,0.0
157.0,0.2868275487086317,0.4933837429111531,0.8729736199186795,0,0.0
127.0,0.6367450787733178,0.4839319470699433,0.8729736199186795,0,0.0
133.0,0.5664260122652702,0.502835538752363,0.8729736199186795,0,0.0
137.0,0.5181944043257797,0.497164461247637,0.8729736199186795,0,0.0
125.0,0.6593177533646911,0.46313799621928164,,1,0.46313799621928164
105.0,0.8458749997135522,0.4782608695652174,,1,0.4782608695652174
143.0,0.4455678473143318,0.5349716446124764,,1,0.5349716446124764
68.0,0.9839937379208648,0.3818525519848771,,1,0.3818525519848771
108.0,0.8232069995255111,0.48015122873345933,,1,0.48015122873345933
121.0,0.7027276162095082,0.4725897920604915,,1,0.4725897920604915
112.0,0.7898774974086171,0.4499054820415879,,1,0.4499054820415879
168.0,0.1847951337170879,0.504725897920605,0.6492425195662924,0,0.0
140.0,0.4818055956742204,0.5198487712665406,0.6492425195662924,0,0.0
190.0,0.05863100028926216,0.5311909262759924,0.32247050159094187,0,0.0
133.0,0.5664260122652702,0.4782608695652174,0.6492425195662924,0,0.0
156.0,0.2972723837904918,0.4952741020793951,0.6492425195662924,0,0.0
102.0,0.8665318965132018,0.44612476370510395,0.8665318965132018,0,0.0
157.0,0.2868275487086317,0.502835538752363,0.6492425195662924,0,0.0
135.0,0.5423882647206261,0.4896030245746692,0.6492425195662924,0,0.0
131.0,0.5902204723329931,0.502835538752363,0.6492425195662924,0,0.0
142.0,0.45761173527937393,0.4952741020793951,0.6492425195662924,0,0.0
199.0,0.03287643586140199,0.5160680529300568,0.32247050159094187,0,0.0
163.0,0.2280855799920073,0.5141776937618148,,1,0.5141776937618148
134.0,0.5544321526856683,0.4914933837429111,,1,0.4914933837429111
185.0,0.07863760446467595,0.5274102079395085,,1,0.5274102079395085
110.0,0.806981368788289,0.47448015122873344,,1,0.47448015122873344
140.0,0.4818055956742204,0.5444234404536862,,1,0.5444234404536862
129.0,0.6136871400872138,0.4914933837429111,,1,0.4914933837429111
172.0,0.15412500028644788,0.5255198487712666,,1,0.5255198487712666
205.0,0.021557491533636258,0.5671077504725898,0.029641550858749855,1,0.5671077504725898
243.0,0.000740546957290943,0.5935727788279773,0.0027153388434001248,1,0.5935727788279773
225.0,0.004258036479344085,0.6238185255198487,0.009367680254556988,1,0.6238185255198487
160.0,0.2565811925156253,0.5141776937618148,0.2822393117671878,0,0.0
233.0,0.0020251779942181774,0.5841209829867675,0.005569239484099988,1,0.5841209829867675
208.0,0.017264499684981612,0.5765595463137996,0.027129928076399676,1,0.5765595463137996
143.0,0.4455678473143318,0.5387523629489603,0.4455678473143318,0,0.0
217.0,0.008479997947235836,0.5879017013232514,0.015546662903265701,1,0.5879017013232514
251.0,0.000311175009647464,0.6030245746691871,0.0027153388434001248,1,0.6030245746691871
246.0,0.000538484085525738,0.5841209829867675,0.0027153388434001248,1,0.5841209829867675
198.0,0.03517195899940526,0.5803402646502835,0.042987949888161986,1,0.5803402646502835
146.0,0.40977952766700687,0.5179584120982986,,1,0.5179584120982986
100.0,0.8791957274838124,0.4555765595463138,,1,0.4555765595463138
200.0,0.030705847248531218,0.5274102079395085,,1,0.5274102079395085
119.0,0.7234400701337074,0.48582230623818523,,1,0.48582230623818523
86.0,0.9448431846477519,0.39697542533081287,,1,0.39697542533081287
242.0,0.0008221056552784536,0.6049149338374291,,1,0.6049149338374291
182.0,0.09290929794049407,0.5198487712665406,,1,0.5198487712665406
