condition,group,roi,phase,subject,beta
CS+,healthy,amyg_cem,extinction,26,24.57579742654343
CS+,healthy,hc_body,acquisition,1,-53.71478367672378
CS+,healthy,hc_body,acquisition,2,-15.408347042315835
CS+,healthy,hc_body,acquisition,3,-3.554785289073352
CS+,healthy,hc_body,acquisition,4,-34.07296106646206
CS+,healthy,hc_body,acquisition,5,4.416791403641131
CS+,healthy,hc_body,acquisition,6,-27.913043461106486
CS+,healthy,hc_body,acquisition,7,-38.837463548634375
CS+,healthy,hc_body,acquisition,8,34.82022476575168
CS+,healthy,hc_body,acquisition,9,-21.168338763917077
CS+,healthy,hc_body,acquisition,10,-12.862083364345105
CS+,healthy,hc_body,acquisition,12,-2.366564909028856
CS+,healthy,hc_body,acquisition,13,-8.018064210233895
CS+,healthy,hc_body,acquisition,14,0.058377285325424924
CS+,healthy,hc_body,acquisition,15,-11.969410925823073
CS+,healthy,hc_body,acquisition,16,-21.517623564294013
CS+,healthy,hc_body,acquisition,17,10.060400976862212
CS+,healthy,hc_body,acquisition,18,-4.702914611242232
CS+,healthy,hc_body,acquisition,19,-22.22579532331936
CS+,healthy,hc_body,acquisition,20,-4.781210145940888
CS+,healthy,hc_body,acquisition,21,-1.7212182502314617
CS+,healthy,hc_body,acquisition,23,14.501198949508964
CS+,healthy,hc_body,acquisition,24,-34.797010380621344
CS+,healthy,hc_body,acquisition,25,-7.409798105831244
CS+,healthy,hc_body,acquisition,26,-9.614823957319011
CS+,healthy,hc_body,baseline,1,-43.180619193433216
CS+,healthy,hc_body,baseline,2,-24.535710887746355
CS+,healthy,hc_body,baseline,3,34.11317527896112
CS+,healthy,hc_body,baseline,4,-29.15672524819313
CS+,healthy,hc_body,baseline,5,6.697224497063845
CS+,healthy,hc_body,baseline,6,-10.190529213383297
CS+,healthy,hc_body,baseline,7,-32.415198227798555
CS+,healthy,hc_body,baseline,8,42.476996998824745
CS+,healthy,hc_body,baseline,9,-11.0737949443593
CS+,healthy,hc_body,baseline,10,-13.180284328709144
CS+,healthy,hc_body,baseline,12,-8.850288544846329
CS+,healthy,hc_body,baseline,13,-2.700355296761481
CS+,healthy,hc_body,baseline,14,2.7364580026572094
CS+,healthy,hc_body,baseline,15,-11.2446822312092
CS+,healthy,hc_body,baseline,16,-28.26167397151631
CS+,healthy,hc_body,baseline,17,9.873433729058153
CS+,healthy,hc_body,baseline,18,-0.7108473884809922
CS+,healthy,hc_body,baseline,19,-18.7061282590612
CS+,healthy,hc_body,baseline,20,2.475915487945735
CS+,healthy,hc_body,baseline,21,2.963045180553268
CS+,healthy,hc_body,baseline,23,19.867519193674227
CS+,healthy,hc_body,baseline,24,-43.424233625905934
CS+,healthy,hc_body,baseline,25,-13.454004631544066
CS+,healthy,hc_body,baseline,26,-15.21169112320058
CS+,healthy,hc_body,extinction,1,-55.52822374144196
CS+,healthy,hc_body,extinction,2,-22.031291765233988
CS+,healthy,hc_body,extinction,3,15.35495349164859
CS+,healthy,hc_body,extinction,4,-44.2311043639012
CS+,healthy,hc_body,extinction,5,4.186021335676744
CS+,healthy,hc_body,extinction,6,-10.75310790071307
CS+,healthy,hc_body,extinction,7,-23.71580138119559
CS+,healthy,hc_body,extinction,8,33.977280468384514
CS+,healthy,hc_body,extinction,9,-12.367162530363808
CS+,healthy,hc_body,extinction,10,-6.509586851299515
